#ベンダ,GRAPHTEC Corporation,,,,,,
#モデル,GL820,,,,,,
#バージョン,Ver1.03,,,,,,
#測定間隔,30s,,,,,,
#測定点数,146,,,,,,
#開始時刻,2018-08-22,10:20:43,,,,,
#終了時刻,2018-08-22,11:33:48,,,,,
#トリガ時刻,2018-08-22,10:21:13,,,,,
#アンプ設定,,,,,,,
#CH,信号名,入力,レンジ,フィルタ,スパン,,
#CH1,CH 1,TEMP,TC_K,Off,100,0,[degC]
#CH2,CH 2,TEMP,TC_K,Off,100,0,[degC]
#Logic/Pulse,Off,,,,,,
#測定値,,,,,,,
#番号,日付 時間,ms,CH1,CH2,Alarm1  -10,Alarm11 -20,Alarm Out
#NO.,Time, ms,degC,degC,A1234567890,A1234567890,AO1234
1,2018/8/22 10:21:13,0,23.6,23.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
2,2018/8/22 10:21:43,0,23.6,23.8,LLLLLLLLLL,LLLLLLLLLL,LLLL
3,2018/8/22 10:22:13,0,23.6,23.8,LLLLLLLLLL,LLLLLLLLLL,LLLL
4,2018/8/22 10:22:43,0,23.6,23.8,LLLLLLLLLL,LLLLLLLLLL,LLLL
5,2018/8/22 10:23:13,0,23.6,23.8,LLLLLLLLLL,LLLLLLLLLL,LLLL
6,2018/8/22 10:23:43,0,23.6,23.8,LLLLLLLLLL,LLLLLLLLLL,LLLL
7,2018/8/22 10:24:13,0,23.5,23.7,LLLLLLLLLL,LLLLLLLLLL,LLLL
8,2018/8/22 10:24:43,0,23.5,23.8,LLLLLLLLLL,LLLLLLLLLL,LLLL
9,2018/8/22 10:25:13,0,23.5,23.7,LLLLLLLLLL,LLLLLLLLLL,LLLL
10,2018/8/22 10:25:43,0,23.5,23.7,LLLLLLLLLL,LLLLLLLLLL,LLLL
11,2018/8/22 10:26:13,0,23.5,23.7,LLLLLLLLLL,LLLLLLLLLL,LLLL
12,2018/8/22 10:26:43,0,23.5,23.7,LLLLLLLLLL,LLLLLLLLLL,LLLL
13,2018/8/22 10:27:13,0,23.5,23.7,LLLLLLLLLL,LLLLLLLLLL,LLLL
