#ベンダ,GRAPHTEC Corporation,,,,,,
#モデル,GL820,,,,,,
#バージョン,Ver1.03,,,,,,
#測定間隔,30s,,,,,,
#測定点数,852,,,,,,
#開始時刻,2018-08-22,11:40:41,,,,,
#終了時刻,2018-08-22,18:46:55,,,,,
#トリガ時刻,2018-08-22,11:41:12,,,,,
#アンプ設定,,,,,,,
#CH,信号名,入力,レンジ,フィルタ,スパン,,
#CH1,CH 1,TEMP,TC_K,Off,100,0,[degC]
#CH2,CH 2,TEMP,TC_K,Off,100,0,[degC]
#Logic/Pulse,Off,,,,,,
#測定値,,,,,,,
#番号,日付 時間,ms,CH1,CH2,Alarm1  -10,Alarm11 -20,Alarm Out
#NO.,Time, ms,degC,degC,A1234567890,A1234567890,AO1234
1,2018/8/22 11:41:12,0,23.8,24.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
2,2018/8/22 11:41:42,0,23.9,24.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
3,2018/8/22 11:42:12,0,24,24.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
4,2018/8/22 11:42:42,0,24.1,24.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
5,2018/8/22 11:43:12,0,24.4,24.4,LLLLLLLLLL,LLLLLLLLLL,LLLL
6,2018/8/22 11:43:42,0,24.4,24.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
7,2018/8/22 11:44:12,0,24.6,24.7,LLLLLLLLLL,LLLLLLLLLL,LLLL
8,2018/8/22 11:44:42,0,24.8,24.8,LLLLLLLLLL,LLLLLLLLLL,LLLL
9,2018/8/22 11:45:12,0,24.8,24.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
10,2018/8/22 11:45:42,0,25,25,LLLLLLLLLL,LLLLLLLLLL,LLLL
11,2018/8/22 11:46:12,0,25.2,25.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
12,2018/8/22 11:46:42,0,25.3,25.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
13,2018/8/22 11:47:12,0,25.4,25.4,LLLLLLLLLL,LLLLLLLLLL,LLLL
14,2018/8/22 11:47:42,0,25.5,25.4,LLLLLLLLLL,LLLLLLLLLL,LLLL
15,2018/8/22 11:48:12,0,25.6,25.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
16,2018/8/22 11:48:42,0,25.7,25.7,LLLLLLLLLL,LLLLLLLLLL,LLLL
17,2018/8/22 11:49:12,0,25.9,25.7,LLLLLLLLLL,LLLLLLLLLL,LLLL
18,2018/8/22 11:49:42,0,25.9,25.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
19,2018/8/22 11:50:12,0,25.9,25.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
20,2018/8/22 11:50:42,0,26,26,LLLLLLLLLL,LLLLLLLLLL,LLLL
21,2018/8/22 11:51:12,0,26.1,26.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
22,2018/8/22 11:51:42,0,26.2,26.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
23,2018/8/22 11:52:12,0,26.2,26.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
24,2018/8/22 11:52:42,0,26.2,26.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
25,2018/8/22 11:53:12,0,26.3,26.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
26,2018/8/22 11:53:42,0,26.4,26.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
27,2018/8/22 11:54:12,0,26.4,26.4,LLLLLLLLLL,LLLLLLLLLL,LLLL
28,2018/8/22 11:54:42,0,26.4,26.4,LLLLLLLLLL,LLLLLLLLLL,LLLL
29,2018/8/22 11:55:12,0,26.5,26.4,LLLLLLLLLL,LLLLLLLLLL,LLLL
30,2018/8/22 11:55:42,0,26.5,26.4,LLLLLLLLLL,LLLLLLLLLL,LLLL
31,2018/8/22 11:56:12,0,26.5,26.4,LLLLLLLLLL,LLLLLLLLLL,LLLL
32,2018/8/22 11:56:42,0,26.6,26.5,LLLLLLLLLL,LLLLLLLLLL,LLLL
33,2018/8/22 11:57:12,0,26.6,26.5,LLLLLLLLLL,LLLLLLLLLL,LLLL
34,2018/8/22 11:57:42,0,26.6,26.5,LLLLLLLLLL,LLLLLLLLLL,LLLL
35,2018/8/22 11:58:12,0,26.6,26.5,LLLLLLLLLL,LLLLLLLLLL,LLLL
36,2018/8/22 11:58:42,0,26.7,26.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
37,2018/8/22 11:59:12,0,26.7,26.7,LLLLLLLLLL,LLLLLLLLLL,LLLL
38,2018/8/22 11:59:42,0,26.7,26.7,LLLLLLLLLL,LLLLLLLLLL,LLLL
39,2018/8/22 12:00:12,0,26.7,26.7,LLLLLLLLLL,LLLLLLLLLL,LLLL
40,2018/8/22 12:00:42,0,26.7,26.7,LLLLLLLLLL,LLLLLLLLLL,LLLL
41,2018/8/22 12:01:12,0,26.8,26.7,LLLLLLLLLL,LLLLLLLLLL,LLLL
42,2018/8/22 12:01:42,0,26.8,26.8,LLLLLLLLLL,LLLLLLLLLL,LLLL
43,2018/8/22 12:02:12,0,26.8,26.8,LLLLLLLLLL,LLLLLLLLLL,LLLL
44,2018/8/22 12:02:42,0,26.8,26.8,LLLLLLLLLL,LLLLLLLLLL,LLLL
45,2018/8/22 12:03:12,0,26.9,26.8,LLLLLLLLLL,LLLLLLLLLL,LLLL
46,2018/8/22 12:03:42,0,26.9,26.8,LLLLLLLLLL,LLLLLLLLLL,LLLL
47,2018/8/22 12:04:12,0,26.9,26.8,LLLLLLLLLL,LLLLLLLLLL,LLLL
48,2018/8/22 12:04:42,0,26.9,26.8,LLLLLLLLLL,LLLLLLLLLL,LLLL
49,2018/8/22 12:05:12,0,26.9,26.8,LLLLLLLLLL,LLLLLLLLLL,LLLL
50,2018/8/22 12:05:42,0,26.9,26.8,LLLLLLLLLL,LLLLLLLLLL,LLLL
51,2018/8/22 12:06:12,0,26.9,26.8,LLLLLLLLLL,LLLLLLLLLL,LLLL
52,2018/8/22 12:06:42,0,26.9,26.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
53,2018/8/22 12:07:12,0,27,26.8,LLLLLLLLLL,LLLLLLLLLL,LLLL
54,2018/8/22 12:07:42,0,27,26.8,LLLLLLLLLL,LLLLLLLLLL,LLLL
55,2018/8/22 12:08:12,0,27,26.8,LLLLLLLLLL,LLLLLLLLLL,LLLL
56,2018/8/22 12:08:42,0,27,26.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
57,2018/8/22 12:09:12,0,26.9,26.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
58,2018/8/22 12:09:42,0,26.9,26.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
59,2018/8/22 12:10:12,0,26.9,26.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
60,2018/8/22 12:10:42,0,26.9,26.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
61,2018/8/22 12:11:12,0,27,26.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
62,2018/8/22 12:11:42,0,27,26.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
63,2018/8/22 12:12:12,0,27,26.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
64,2018/8/22 12:12:42,0,26.9,26.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
65,2018/8/22 12:13:12,0,27,26.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
66,2018/8/22 12:13:42,0,27,26.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
67,2018/8/22 12:14:12,0,26.9,26.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
68,2018/8/22 12:14:42,0,26.9,26.8,LLLLLLLLLL,LLLLLLLLLL,LLLL
69,2018/8/22 12:15:12,0,26.9,26.8,LLLLLLLLLL,LLLLLLLLLL,LLLL
70,2018/8/22 12:15:42,0,26.9,26.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
71,2018/8/22 12:16:12,0,26.9,26.8,LLLLLLLLLL,LLLLLLLLLL,LLLL
72,2018/8/22 12:16:42,0,26.9,26.8,LLLLLLLLLL,LLLLLLLLLL,LLLL
73,2018/8/22 12:17:12,0,26.9,26.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
74,2018/8/22 12:17:42,0,26.9,26.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
75,2018/8/22 12:18:12,0,26.9,26.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
76,2018/8/22 12:18:42,0,26.9,26.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
77,2018/8/22 12:19:12,0,26.9,26.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
78,2018/8/22 12:19:42,0,26.9,26.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
