#ベンダ,GRAPHTEC Corporation,,,,,,
#モデル,GL820,,,,,,
#バージョン,Ver1.03,,,,,,
#測定間隔,1s,,,,,,
#測定点数,602,,,,,,
#開始時刻,2018-09-05,14:10:01,,,,,
#終了時刻,2018-09-05,14:20:03,,,,,
#トリガ時刻,2018-09-05,14:10:02,,,,,
#アンプ設定,,,,,,,
#CH,信号名,入力,レンジ,フィルタ,スパン,,
#CH1,CH 1,TEMP,TC_K,Off,100,0,[degC]
#CH2,CH 2,TEMP,TC_K,Off,100,0,[degC]
#Logic/Pulse,Off,,,,,,
#測定値,,,,,,,
#番号,日付 時間,ms,CH1,CH2,Alarm1  -10,Alarm11 -20,Alarm Out
#NO.,Time, ms,degC,degC,A1234567890,A1234567890,AO1234
1,2018/9/5 14:10:02,0,22.1,22.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
2,2018/9/5 14:10:03,0,22.1,22.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
3,2018/9/5 14:10:04,0,22.1,22.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
4,2018/9/5 14:10:05,0,22.1,22.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
5,2018/9/5 14:10:06,0,22.1,22.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
6,2018/9/5 14:10:07,0,22.1,22.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
7,2018/9/5 14:10:08,0,22.1,22.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
8,2018/9/5 14:10:09,0,22.1,22.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
9,2018/9/5 14:10:10,0,22.1,22.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
10,2018/9/5 14:10:11,0,22.1,22.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
11,2018/9/5 14:10:12,0,22.1,22.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
12,2018/9/5 14:10:13,0,22.1,22.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
13,2018/9/5 14:10:14,0,22.1,22.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
14,2018/9/5 14:10:15,0,22.1,22.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
15,2018/9/5 14:10:16,0,22.1,22.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
16,2018/9/5 14:10:17,0,22.1,22.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
17,2018/9/5 14:10:18,0,22.1,22.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
18,2018/9/5 14:10:19,0,22.1,22.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
19,2018/9/5 14:10:20,0,22.1,22.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
20,2018/9/5 14:10:21,0,22.1,22.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
21,2018/9/5 14:10:22,0,22.1,22.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
22,2018/9/5 14:10:23,0,22.1,22.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
23,2018/9/5 14:10:24,0,22.1,22.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
24,2018/9/5 14:10:25,0,22.1,22.4,LLLLLLLLLL,LLLLLLLLLL,LLLL
25,2018/9/5 14:10:26,0,22.1,22.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
26,2018/9/5 14:10:27,0,22.1,22.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
27,2018/9/5 14:10:28,0,22.1,22.4,LLLLLLLLLL,LLLLLLLLLL,LLLL
28,2018/9/5 14:10:29,0,22.1,22.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
29,2018/9/5 14:10:30,0,22.1,22.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
30,2018/9/5 14:10:31,0,22.1,22.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
31,2018/9/5 14:10:32,0,22.1,22.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
32,2018/9/5 14:10:33,0,22.1,22.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
33,2018/9/5 14:10:34,0,22.1,22.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
34,2018/9/5 14:10:35,0,22.1,22.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
35,2018/9/5 14:10:36,0,22.1,22.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
36,2018/9/5 14:10:37,0,22.1,22.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
37,2018/9/5 14:10:38,0,22.1,22.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
38,2018/9/5 14:10:39,0,22.1,22.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
39,2018/9/5 14:10:40,0,22.1,22.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
40,2018/9/5 14:10:41,0,22.1,22.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
41,2018/9/5 14:10:42,0,22.1,22.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
42,2018/9/5 14:10:43,0,22.1,22.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
43,2018/9/5 14:10:44,0,22.1,22.4,LLLLLLLLLL,LLLLLLLLLL,LLLL
44,2018/9/5 14:10:45,0,22,22.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
45,2018/9/5 14:10:46,0,22.1,22.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
46,2018/9/5 14:10:47,0,22.1,22.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
47,2018/9/5 14:10:48,0,22,22.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
48,2018/9/5 14:10:49,0,22.1,22.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
49,2018/9/5 14:10:50,0,22.1,22.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
50,2018/9/5 14:10:51,0,22,22.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
51,2018/9/5 14:10:52,0,22,22.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
52,2018/9/5 14:10:53,0,22,22.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
53,2018/9/5 14:10:54,0,22,22.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
54,2018/9/5 14:10:55,0,22,22.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
55,2018/9/5 14:10:56,0,22,22.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
56,2018/9/5 14:10:57,0,22.1,22.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
57,2018/9/5 14:10:58,0,22.1,22.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
58,2018/9/5 14:10:59,0,22.1,22.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
59,2018/9/5 14:11:00,0,22.1,22.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
60,2018/9/5 14:11:01,0,22.1,22.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
61,2018/9/5 14:11:02,0,22.1,22.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
