#ベンダ,GRAPHTEC Corporation,,,,,,
#モデル,GL820,,,,,,
#バージョン,Ver1.03,,,,,,
#測定間隔,1s,,,,,,
#測定点数,1802,,,,,,
#開始時刻,2018-09-07,11:57:41,,,,,
#終了時刻,2018-09-07,12:27:44,,,,,
#トリガ時刻,2018-09-07,11:57:43,,,,,
#アンプ設定,,,,,,,
#CH,信号名,入力,レンジ,フィルタ,スパン,,
#CH1,CH 1,TEMP,TC_K,Off,100,0,[degC]
#CH2,CH 2,TEMP,TC_K,Off,100,0,[degC]
#Logic/Pulse,Off,,,,,,
#測定値,,,,,,,
#番号,日付 時間,ms,CH1,CH2,Alarm1  -10,Alarm11 -20,Alarm Out
#NO.,Time, ms,degC,degC,A1234567890,A1234567890,AO1234
1,2018/9/7 11:57:43,0,26.8,27,LLLLLLLLLL,LLLLLLLLLL,LLLL
2,2018/9/7 11:57:44,0,26.8,27,LLLLLLLLLL,LLLLLLLLLL,LLLL
3,2018/9/7 11:57:45,0,26.9,27,LLLLLLLLLL,LLLLLLLLLL,LLLL
4,2018/9/7 11:57:46,0,26.9,27,LLLLLLLLLL,LLLLLLLLLL,LLLL
5,2018/9/7 11:57:47,0,26.8,27,LLLLLLLLLL,LLLLLLLLLL,LLLL
6,2018/9/7 11:57:48,0,26.8,27,LLLLLLLLLL,LLLLLLLLLL,LLLL
7,2018/9/7 11:57:49,0,26.9,27,LLLLLLLLLL,LLLLLLLLLL,LLLL
8,2018/9/7 11:57:50,0,26.8,27,LLLLLLLLLL,LLLLLLLLLL,LLLL
9,2018/9/7 11:57:51,0,26.9,27,LLLLLLLLLL,LLLLLLLLLL,LLLL
10,2018/9/7 11:57:52,0,26.8,27,LLLLLLLLLL,LLLLLLLLLL,LLLL
11,2018/9/7 11:57:53,0,26.8,27,LLLLLLLLLL,LLLLLLLLLL,LLLL
12,2018/9/7 11:57:54,0,26.7,27,LLLLLLLLLL,LLLLLLLLLL,LLLL
13,2018/9/7 11:57:55,0,26.7,27,LLLLLLLLLL,LLLLLLLLLL,LLLL
14,2018/9/7 11:57:56,0,26.7,26.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
15,2018/9/7 11:57:57,0,26.7,26.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
16,2018/9/7 11:57:58,0,26.7,26.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
17,2018/9/7 11:57:59,0,26.8,27,LLLLLLLLLL,LLLLLLLLLL,LLLL
18,2018/9/7 11:58:00,0,26.7,27,LLLLLLLLLL,LLLLLLLLLL,LLLL
19,2018/9/7 11:58:01,0,26.7,26.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
20,2018/9/7 11:58:02,0,26.7,27,LLLLLLLLLL,LLLLLLLLLL,LLLL
21,2018/9/7 11:58:03,0,26.8,27,LLLLLLLLLL,LLLLLLLLLL,LLLL
22,2018/9/7 11:58:04,0,26.7,26.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
23,2018/9/7 11:58:05,0,26.9,27,LLLLLLLLLL,LLLLLLLLLL,LLLL
24,2018/9/7 11:58:06,0,26.8,27,LLLLLLLLLL,LLLLLLLLLL,LLLL
25,2018/9/7 11:58:07,0,26.8,27,LLLLLLLLLL,LLLLLLLLLL,LLLL
26,2018/9/7 11:58:08,0,26.9,27,LLLLLLLLLL,LLLLLLLLLL,LLLL
27,2018/9/7 11:58:09,0,26.9,27,LLLLLLLLLL,LLLLLLLLLL,LLLL
28,2018/9/7 11:58:10,0,26.8,27,LLLLLLLLLL,LLLLLLLLLL,LLLL
29,2018/9/7 11:58:11,0,26.8,27,LLLLLLLLLL,LLLLLLLLLL,LLLL
30,2018/9/7 11:58:12,0,26.8,27,LLLLLLLLLL,LLLLLLLLLL,LLLL
31,2018/9/7 11:58:13,0,26.8,27,LLLLLLLLLL,LLLLLLLLLL,LLLL
32,2018/9/7 11:58:14,0,26.8,27,LLLLLLLLLL,LLLLLLLLLL,LLLL
33,2018/9/7 11:58:15,0,26.8,27,LLLLLLLLLL,LLLLLLLLLL,LLLL
34,2018/9/7 11:58:16,0,26.8,27,LLLLLLLLLL,LLLLLLLLLL,LLLL
35,2018/9/7 11:58:17,0,26.8,27,LLLLLLLLLL,LLLLLLLLLL,LLLL
36,2018/9/7 11:58:18,0,26.8,27,LLLLLLLLLL,LLLLLLLLLL,LLLL
