#ベンダ,GRAPHTEC Corporation,,,,,,
#モデル,GL820,,,,,,
#バージョン,Ver1.03,,,,,,
#測定間隔,5s,,,,,,
#測定点数,1584,,,,,,
#開始時刻,2018-09-18,18:09:53,,,,,
#終了時刻,2018-09-18,20:22:00,,,,,
#トリガ時刻,2018-09-18,18:10:00,,,,,
#アンプ設定,,,,,,,
#CH,信号名,入力,レンジ,フィルタ,スパン,,
#CH1,CH 1,TEMP,TC_K,Off,100,0,[degC]
#CH2,CH 2,TEMP,TC_K,Off,100,0,[degC]
#Logic/Pulse,Off,,,,,,
#測定値,,,,,,,
#番号,日付 時間,ms,CH1,CH2,Alarm1  -10,Alarm11 -20,Alarm Out
#NO.,Time, ms,degC,degC,A1234567890,A1234567890,AO1234
1,2018/9/18 18:10:00,0,24.7,24.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
2,2018/9/18 18:10:05,0,24.7,24.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
3,2018/9/18 18:10:10,0,24.6,24.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
4,2018/9/18 18:10:15,0,24.6,24.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
5,2018/9/18 18:10:20,0,24.6,24.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
6,2018/9/18 18:10:25,0,24.6,24.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
7,2018/9/18 18:10:30,0,24.6,24.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
8,2018/9/18 18:10:35,0,24.7,24.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
9,2018/9/18 18:10:40,0,24.6,24.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
10,2018/9/18 18:10:45,0,24.7,24.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
11,2018/9/18 18:10:50,0,24.7,24.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
12,2018/9/18 18:10:55,0,24.7,24.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
13,2018/9/18 18:11:00,0,24.7,24.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
14,2018/9/18 18:11:05,0,24.7,24.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
15,2018/9/18 18:11:10,0,24.6,24.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
16,2018/9/18 18:11:15,0,24.7,24.5,LLLLLLLLLL,LLLLLLLLLL,LLLL
17,2018/9/18 18:11:20,0,24.7,24.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
18,2018/9/18 18:11:25,0,24.6,24.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
19,2018/9/18 18:11:30,0,24.6,24.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
20,2018/9/18 18:11:35,0,24.7,24.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
21,2018/9/18 18:11:40,0,24.7,24.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
22,2018/9/18 18:11:45,0,24.6,24.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
23,2018/9/18 18:11:50,0,24.6,24.5,LLLLLLLLLL,LLLLLLLLLL,LLLL
24,2018/9/18 18:11:55,0,24.6,24.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
25,2018/9/18 18:12:00,0,24.6,24.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
26,2018/9/18 18:12:05,0,24.7,24.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
27,2018/9/18 18:12:10,0,24.7,24.5,LLLLLLLLLL,LLLLLLLLLL,LLLL
28,2018/9/18 18:12:15,0,24.6,24.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
29,2018/9/18 18:12:20,0,24.6,24.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
30,2018/9/18 18:12:25,0,24.6,24.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
31,2018/9/18 18:12:30,0,24.6,24.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
32,2018/9/18 18:12:35,0,24.7,24.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
33,2018/9/18 18:12:40,0,24.6,24.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
34,2018/9/18 18:12:45,0,24.7,24.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
35,2018/9/18 18:12:50,0,24.7,24.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
36,2018/9/18 18:12:55,0,24.7,24.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
37,2018/9/18 18:13:00,0,24.7,24.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
38,2018/9/18 18:13:05,0,24.7,24.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
39,2018/9/18 18:13:10,0,24.7,24.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
40,2018/9/18 18:13:15,0,24.7,24.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
41,2018/9/18 18:13:20,0,24.7,24.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
42,2018/9/18 18:13:25,0,24.7,24.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
43,2018/9/18 18:13:30,0,24.8,24.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
44,2018/9/18 18:13:35,0,24.8,24.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
45,2018/9/18 18:13:40,0,24.7,24.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
46,2018/9/18 18:13:45,0,24.7,24.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
47,2018/9/18 18:13:50,0,24.7,24.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
48,2018/9/18 18:13:55,0,24.7,24.7,LLLLLLLLLL,LLLLLLLLLL,LLLL
49,2018/9/18 18:14:00,0,24.7,24.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
50,2018/9/18 18:14:05,0,24.7,24.7,LLLLLLLLLL,LLLLLLLLLL,LLLL
51,2018/9/18 18:14:10,0,24.8,24.7,LLLLLLLLLL,LLLLLLLLLL,LLLL
52,2018/9/18 18:14:15,0,24.8,24.7,LLLLLLLLLL,LLLLLLLLLL,LLLL
53,2018/9/18 18:14:20,0,24.9,24.7,LLLLLLLLLL,LLLLLLLLLL,LLLL
54,2018/9/18 18:14:25,0,24.9,24.7,LLLLLLLLLL,LLLLLLLLLL,LLLL
55,2018/9/18 18:14:30,0,24.9,24.7,LLLLLLLLLL,LLLLLLLLLL,LLLL
56,2018/9/18 18:14:35,0,25,24.7,LLLLLLLLLL,LLLLLLLLLL,LLLL
57,2018/9/18 18:14:40,0,25.1,24.8,LLLLLLLLLL,LLLLLLLLLL,LLLL
58,2018/9/18 18:14:45,0,25.1,24.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
59,2018/9/18 18:14:50,0,25.1,24.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
60,2018/9/18 18:14:55,0,25.1,24.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
61,2018/9/18 18:15:00,0,25.2,24.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
62,2018/9/18 18:15:05,0,25.2,25,LLLLLLLLLL,LLLLLLLLLL,LLLL
63,2018/9/18 18:15:10,0,25.3,25,LLLLLLLLLL,LLLLLLLLLL,LLLL
64,2018/9/18 18:15:15,0,25.4,25.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
65,2018/9/18 18:15:20,0,25.4,25.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
66,2018/9/18 18:15:25,0,25.5,25.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
67,2018/9/18 18:15:30,0,25.5,25.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
68,2018/9/18 18:15:35,0,25.5,25.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
69,2018/9/18 18:15:40,0,25.6,25.4,LLLLLLLLLL,LLLLLLLLLL,LLLL
70,2018/9/18 18:15:45,0,25.6,25.4,LLLLLLLLLL,LLLLLLLLLL,LLLL
71,2018/9/18 18:15:50,0,25.7,25.4,LLLLLLLLLL,LLLLLLLLLL,LLLL
72,2018/9/18 18:15:55,0,25.7,25.4,LLLLLLLLLL,LLLLLLLLLL,LLLL
73,2018/9/18 18:16:00,0,25.9,25.4,LLLLLLLLLL,LLLLLLLLLL,LLLL
74,2018/9/18 18:16:05,0,25.9,25.4,LLLLLLLLLL,LLLLLLLLLL,LLLL
75,2018/9/18 18:16:10,0,25.9,25.5,LLLLLLLLLL,LLLLLLLLLL,LLLL
76,2018/9/18 18:16:15,0,26,25.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
77,2018/9/18 18:16:20,0,26.1,25.7,LLLLLLLLLL,LLLLLLLLLL,LLLL
78,2018/9/18 18:16:25,0,26.1,25.7,LLLLLLLLLL,LLLLLLLLLL,LLLL
79,2018/9/18 18:16:30,0,26.1,25.7,LLLLLLLLLL,LLLLLLLLLL,LLLL
80,2018/9/18 18:16:35,0,26.2,25.7,LLLLLLLLLL,LLLLLLLLLL,LLLL
81,2018/9/18 18:16:40,0,26.2,25.7,LLLLLLLLLL,LLLLLLLLLL,LLLL
82,2018/9/18 18:16:45,0,26.3,25.8,LLLLLLLLLL,LLLLLLLLLL,LLLL
83,2018/9/18 18:16:50,0,26.4,25.8,LLLLLLLLLL,LLLLLLLLLL,LLLL
84,2018/9/18 18:16:55,0,26.4,25.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
85,2018/9/18 18:17:00,0,26.4,25.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
86,2018/9/18 18:17:05,0,26.5,26.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
87,2018/9/18 18:17:10,0,26.5,26.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
88,2018/9/18 18:17:15,0,26.5,26.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
89,2018/9/18 18:17:20,0,26.5,26.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
90,2018/9/18 18:17:25,0,26.6,26.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
91,2018/9/18 18:17:30,0,26.7,26.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
92,2018/9/18 18:17:35,0,26.7,26.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
93,2018/9/18 18:17:40,0,26.8,26.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
94,2018/9/18 18:17:45,0,26.9,26.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
95,2018/9/18 18:17:50,0,26.9,26.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
96,2018/9/18 18:17:55,0,26.9,26.4,LLLLLLLLLL,LLLLLLLLLL,LLLL
97,2018/9/18 18:18:00,0,27,26.4,LLLLLLLLLL,LLLLLLLLLL,LLLL
98,2018/9/18 18:18:05,0,27,26.5,LLLLLLLLLL,LLLLLLLLLL,LLLL
99,2018/9/18 18:18:10,0,27.1,26.5,LLLLLLLLLL,LLLLLLLLLL,LLLL
100,2018/9/18 18:18:15,0,27.2,26.5,LLLLLLLLLL,LLLLLLLLLL,LLLL
101,2018/9/18 18:18:20,0,27.2,26.5,LLLLLLLLLL,LLLLLLLLLL,LLLL
102,2018/9/18 18:18:25,0,27.2,26.7,LLLLLLLLLL,LLLLLLLLLL,LLLL
103,2018/9/18 18:18:30,0,27.3,26.7,LLLLLLLLLL,LLLLLLLLLL,LLLL
104,2018/9/18 18:18:35,0,27.4,26.7,LLLLLLLLLL,LLLLLLLLLL,LLLL
105,2018/9/18 18:18:40,0,27.4,26.7,LLLLLLLLLL,LLLLLLLLLL,LLLL
106,2018/9/18 18:18:45,0,27.4,26.8,LLLLLLLLLL,LLLLLLLLLL,LLLL
107,2018/9/18 18:18:50,0,27.5,26.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
108,2018/9/18 18:18:55,0,27.5,26.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
109,2018/9/18 18:19:00,0,27.5,26.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
110,2018/9/18 18:19:05,0,27.6,27,LLLLLLLLLL,LLLLLLLLLL,LLLL
111,2018/9/18 18:19:10,0,27.7,27,LLLLLLLLLL,LLLLLLLLLL,LLLL
112,2018/9/18 18:19:15,0,27.7,27.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
113,2018/9/18 18:19:20,0,27.8,27.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
114,2018/9/18 18:19:25,0,27.9,27.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
115,2018/9/18 18:19:30,0,27.9,27.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
116,2018/9/18 18:19:35,0,27.9,27.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
117,2018/9/18 18:19:40,0,28,27.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
118,2018/9/18 18:19:45,0,28,27.4,LLLLLLLLLL,LLLLLLLLLL,LLLL
119,2018/9/18 18:19:50,0,28,27.4,LLLLLLLLLL,LLLLLLLLLL,LLLL
120,2018/9/18 18:19:55,0,28,27.4,LLLLLLLLLL,LLLLLLLLLL,LLLL
121,2018/9/18 18:20:00,0,28,27.4,LLLLLLLLLL,LLLLLLLLLL,LLLL
122,2018/9/18 18:20:05,0,28,27.4,LLLLLLLLLL,LLLLLLLLLL,LLLL
123,2018/9/18 18:20:10,0,28,27.4,LLLLLLLLLL,LLLLLLLLLL,LLLL
124,2018/9/18 18:20:15,0,28.2,27.4,LLLLLLLLLL,LLLLLLLLLL,LLLL
125,2018/9/18 18:20:20,0,28.1,27.4,LLLLLLLLLL,LLLLLLLLLL,LLLL
126,2018/9/18 18:20:25,0,28.3,27.5,LLLLLLLLLL,LLLLLLLLLL,LLLL
127,2018/9/18 18:20:30,0,28.3,27.5,LLLLLLLLLL,LLLLLLLLLL,LLLL
128,2018/9/18 18:20:35,0,28.3,27.7,LLLLLLLLLL,LLLLLLLLLL,LLLL
129,2018/9/18 18:20:40,0,28.3,27.7,LLLLLLLLLL,LLLLLLLLLL,LLLL
130,2018/9/18 18:20:45,0,28.4,27.7,LLLLLLLLLL,LLLLLLLLLL,LLLL
131,2018/9/18 18:20:50,0,28.5,27.7,LLLLLLLLLL,LLLLLLLLLL,LLLL
132,2018/9/18 18:20:55,0,28.5,27.7,LLLLLLLLLL,LLLLLLLLLL,LLLL
133,2018/9/18 18:21:00,0,28.5,27.8,LLLLLLLLLL,LLLLLLLLLL,LLLL
134,2018/9/18 18:21:05,0,28.5,27.8,LLLLLLLLLL,LLLLLLLLLL,LLLL
135,2018/9/18 18:21:10,0,28.5,27.8,LLLLLLLLLL,LLLLLLLLLL,LLLL
136,2018/9/18 18:21:15,0,28.6,27.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
137,2018/9/18 18:21:20,0,28.6,27.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
138,2018/9/18 18:21:25,0,28.7,27.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
139,2018/9/18 18:21:30,0,28.7,27.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
140,2018/9/18 18:21:35,0,28.7,28,LLLLLLLLLL,LLLLLLLLLL,LLLL
141,2018/9/18 18:21:40,0,28.8,28,LLLLLLLLLL,LLLLLLLLLL,LLLL
142,2018/9/18 18:21:45,0,28.8,28.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
143,2018/9/18 18:21:50,0,28.9,28.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
144,2018/9/18 18:21:55,0,28.9,28.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
145,2018/9/18 18:22:00,0,28.9,28.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
146,2018/9/18 18:22:05,0,28.9,28.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
