#ベンダ,GRAPHTEC Corporation,,,,,,
#モデル,GL820,,,,,,
#バージョン,Ver1.03,,,,,,
#測定間隔,5s,,,,,,
#測定点数,1623,,,,,,
#開始時刻,2018-09-19,09:59:54,,,,,
#終了時刻,2018-09-19,12:15:14,,,,,
#トリガ時刻,2018-09-19,10:00:00,,,,,
#アンプ設定,,,,,,,
#CH,信号名,入力,レンジ,フィルタ,スパン,,
#CH1,CH 1,TEMP,TC_K,Off,100,0,[degC]
#CH2,CH 2,TEMP,TC_K,Off,100,0,[degC]
#Logic/Pulse,Off,,,,,,
#測定値,,,,,,,
#番号,日付 時間,ms,CH1,CH2,Alarm1  -10,Alarm11 -20,Alarm Out
#NO.,Time, ms,degC,degC,A1234567890,A1234567890,AO1234
1,2018/9/19 10:00:00,0,23.5,23.4,LLLLLLLLLL,LLLLLLLLLL,LLLL
2,2018/9/19 10:00:05,0,23.5,23.4,LLLLLLLLLL,LLLLLLLLLL,LLLL
3,2018/9/19 10:00:10,0,23.4,23.4,LLLLLLLLLL,LLLLLLLLLL,LLLL
4,2018/9/19 10:00:15,0,23.4,23.4,LLLLLLLLLL,LLLLLLLLLL,LLLL
5,2018/9/19 10:00:20,0,23.4,23.4,LLLLLLLLLL,LLLLLLLLLL,LLLL
6,2018/9/19 10:00:25,0,23.4,23.4,LLLLLLLLLL,LLLLLLLLLL,LLLL
7,2018/9/19 10:00:30,0,23.4,23.4,LLLLLLLLLL,LLLLLLLLLL,LLLL
8,2018/9/19 10:00:35,0,23.4,23.4,LLLLLLLLLL,LLLLLLLLLL,LLLL
9,2018/9/19 10:00:40,0,23.4,23.5,LLLLLLLLLL,LLLLLLLLLL,LLLL
10,2018/9/19 10:00:45,0,23.4,23.5,LLLLLLLLLL,LLLLLLLLLL,LLLL
11,2018/9/19 10:00:50,0,23.4,23.5,LLLLLLLLLL,LLLLLLLLLL,LLLL
12,2018/9/19 10:00:55,0,23.5,23.5,LLLLLLLLLL,LLLLLLLLLL,LLLL
13,2018/9/19 10:01:00,0,23.4,23.5,LLLLLLLLLL,LLLLLLLLLL,LLLL
14,2018/9/19 10:01:05,0,23.5,23.4,LLLLLLLLLL,LLLLLLLLLL,LLLL
15,2018/9/19 10:01:10,0,23.4,23.4,LLLLLLLLLL,LLLLLLLLLL,LLLL
16,2018/9/19 10:01:15,0,23.5,23.5,LLLLLLLLLL,LLLLLLLLLL,LLLL
17,2018/9/19 10:01:20,0,23.4,23.4,LLLLLLLLLL,LLLLLLLLLL,LLLL
18,2018/9/19 10:01:25,0,23.5,23.5,LLLLLLLLLL,LLLLLLLLLL,LLLL
19,2018/9/19 10:01:30,0,23.4,23.4,LLLLLLLLLL,LLLLLLLLLL,LLLL
20,2018/9/19 10:01:35,0,23.4,23.4,LLLLLLLLLL,LLLLLLLLLL,LLLL
21,2018/9/19 10:01:40,0,23.4,23.4,LLLLLLLLLL,LLLLLLLLLL,LLLL
22,2018/9/19 10:01:45,0,23.4,23.4,LLLLLLLLLL,LLLLLLLLLL,LLLL
23,2018/9/19 10:01:50,0,23.3,23.4,LLLLLLLLLL,LLLLLLLLLL,LLLL
24,2018/9/19 10:01:55,0,23.4,23.5,LLLLLLLLLL,LLLLLLLLLL,LLLL
25,2018/9/19 10:02:00,0,23.4,23.5,LLLLLLLLLL,LLLLLLLLLL,LLLL
26,2018/9/19 10:02:05,0,23.4,23.5,LLLLLLLLLL,LLLLLLLLLL,LLLL
27,2018/9/19 10:02:10,0,23.3,23.5,LLLLLLLLLL,LLLLLLLLLL,LLLL
28,2018/9/19 10:02:15,0,23.4,23.5,LLLLLLLLLL,LLLLLLLLLL,LLLL
29,2018/9/19 10:02:20,0,23.4,23.5,LLLLLLLLLL,LLLLLLLLLL,LLLL
30,2018/9/19 10:02:25,0,23.4,23.5,LLLLLLLLLL,LLLLLLLLLL,LLLL
31,2018/9/19 10:02:30,0,23.4,23.5,LLLLLLLLLL,LLLLLLLLLL,LLLL
32,2018/9/19 10:02:35,0,23.4,23.4,LLLLLLLLLL,LLLLLLLLLL,LLLL
33,2018/9/19 10:02:40,0,23.4,23.5,LLLLLLLLLL,LLLLLLLLLL,LLLL
34,2018/9/19 10:02:45,0,23.4,23.5,LLLLLLLLLL,LLLLLLLLLL,LLLL
35,2018/9/19 10:02:50,0,23.4,23.5,LLLLLLLLLL,LLLLLLLLLL,LLLL
36,2018/9/19 10:02:55,0,23.4,23.5,LLLLLLLLLL,LLLLLLLLLL,LLLL
37,2018/9/19 10:03:00,0,23.4,23.5,LLLLLLLLLL,LLLLLLLLLL,LLLL
38,2018/9/19 10:03:05,0,23.4,23.5,LLLLLLLLLL,LLLLLLLLLL,LLLL
39,2018/9/19 10:03:10,0,23.4,23.5,LLLLLLLLLL,LLLLLLLLLL,LLLL
40,2018/9/19 10:03:15,0,23.5,23.5,LLLLLLLLLL,LLLLLLLLLL,LLLL
41,2018/9/19 10:03:20,0,23.4,23.5,LLLLLLLLLL,LLLLLLLLLL,LLLL
42,2018/9/19 10:03:25,0,23.4,23.5,LLLLLLLLLL,LLLLLLLLLL,LLLL
43,2018/9/19 10:03:30,0,23.4,23.4,LLLLLLLLLL,LLLLLLLLLL,LLLL
44,2018/9/19 10:03:35,0,23.4,23.5,LLLLLLLLLL,LLLLLLLLLL,LLLL
45,2018/9/19 10:03:40,0,23.4,23.5,LLLLLLLLLL,LLLLLLLLLL,LLLL
46,2018/9/19 10:03:45,0,23.4,23.4,LLLLLLLLLL,LLLLLLLLLL,LLLL
47,2018/9/19 10:03:50,0,23.4,23.4,LLLLLLLLLL,LLLLLLLLLL,LLLL
48,2018/9/19 10:03:55,0,23.4,23.4,LLLLLLLLLL,LLLLLLLLLL,LLLL
49,2018/9/19 10:04:00,0,23.4,23.5,LLLLLLLLLL,LLLLLLLLLL,LLLL
50,2018/9/19 10:04:05,0,23.4,23.5,LLLLLLLLLL,LLLLLLLLLL,LLLL
51,2018/9/19 10:04:10,0,23.4,23.5,LLLLLLLLLL,LLLLLLLLLL,LLLL
52,2018/9/19 10:04:15,0,23.4,23.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
53,2018/9/19 10:04:20,0,23.4,23.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
54,2018/9/19 10:04:25,0,23.4,23.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
55,2018/9/19 10:04:30,0,23.5,23.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
56,2018/9/19 10:04:35,0,23.5,23.5,LLLLLLLLLL,LLLLLLLLLL,LLLL
57,2018/9/19 10:04:40,0,23.5,23.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
58,2018/9/19 10:04:45,0,23.5,23.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
59,2018/9/19 10:04:50,0,23.6,23.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
60,2018/9/19 10:04:55,0,23.6,23.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
61,2018/9/19 10:05:00,0,23.6,23.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
62,2018/9/19 10:05:05,0,23.6,23.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
63,2018/9/19 10:05:10,0,23.6,23.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
64,2018/9/19 10:05:15,0,23.7,23.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
65,2018/9/19 10:05:20,0,23.7,23.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
66,2018/9/19 10:05:25,0,23.7,23.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
67,2018/9/19 10:05:30,0,23.8,23.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
68,2018/9/19 10:05:35,0,23.8,23.8,LLLLLLLLLL,LLLLLLLLLL,LLLL
69,2018/9/19 10:05:40,0,23.8,23.8,LLLLLLLLLL,LLLLLLLLLL,LLLL
70,2018/9/19 10:05:45,0,23.9,23.8,LLLLLLLLLL,LLLLLLLLLL,LLLL
71,2018/9/19 10:05:50,0,23.9,23.8,LLLLLLLLLL,LLLLLLLLLL,LLLL
72,2018/9/19 10:05:55,0,23.9,23.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
73,2018/9/19 10:06:00,0,24,23.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
74,2018/9/19 10:06:05,0,24.1,23.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
75,2018/9/19 10:06:10,0,24.1,23.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
76,2018/9/19 10:06:15,0,24.1,23.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
77,2018/9/19 10:06:20,0,24.2,24,LLLLLLLLLL,LLLLLLLLLL,LLLL
78,2018/9/19 10:06:25,0,24.2,24.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
79,2018/9/19 10:06:30,0,24.2,24.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
80,2018/9/19 10:06:35,0,24.3,24.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
81,2018/9/19 10:06:40,0,24.3,24.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
82,2018/9/19 10:06:45,0,24.3,24.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
83,2018/9/19 10:06:50,0,24.4,24.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
84,2018/9/19 10:06:55,0,24.5,24.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
85,2018/9/19 10:07:00,0,24.5,24.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
