#ベンダ,GRAPHTEC Corporation,,,,,,
#モデル,GL820,,,,,,
#バージョン,Ver1.03,,,,,,
#測定間隔,1s,,,,,,
#測定点数,326,,,,,,
#開始時刻,2018-09-23,15:58:57,,,,,
#終了時刻,2018-09-23,16:04:23,,,,,
#トリガ時刻,2018-09-23,15:58:58,,,,,
#アンプ設定,,,,,,,
#CH,信号名,入力,レンジ,フィルタ,スパン,,
#CH1,CH 1,TEMP,TC_K,Off,100,0,[degC]
#CH2,CH 2,TEMP,TC_K,Off,100,0,[degC]
#Logic/Pulse,Off,,,,,,
#測定値,,,,,,,
#番号,日付 時間,ms,CH1,CH2,Alarm1  -10,Alarm11 -20,Alarm Out
#NO.,Time, ms,degC,degC,A1234567890,A1234567890,AO1234
1,2018/9/23 15:58:58,0,26,25.8,LLLLLLLLLL,LLLLLLLLLL,LLLL
2,2018/9/23 15:58:59,0,26,25.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
3,2018/9/23 15:59:00,0,26.1,25.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
4,2018/9/23 15:59:01,0,25.9,25.8,LLLLLLLLLL,LLLLLLLLLL,LLLL
5,2018/9/23 15:59:02,0,25.9,25.8,LLLLLLLLLL,LLLLLLLLLL,LLLL
6,2018/9/23 15:59:03,0,26,25.8,LLLLLLLLLL,LLLLLLLLLL,LLLL
7,2018/9/23 15:59:04,0,25.9,25.8,LLLLLLLLLL,LLLLLLLLLL,LLLL
8,2018/9/23 15:59:05,0,25.9,25.8,LLLLLLLLLL,LLLLLLLLLL,LLLL
9,2018/9/23 15:59:06,0,25.9,25.8,LLLLLLLLLL,LLLLLLLLLL,LLLL
10,2018/9/23 15:59:07,0,25.9,25.8,LLLLLLLLLL,LLLLLLLLLL,LLLL
11,2018/9/23 15:59:08,0,25.9,25.8,LLLLLLLLLL,LLLLLLLLLL,LLLL
12,2018/9/23 15:59:09,0,25.9,25.8,LLLLLLLLLL,LLLLLLLLLL,LLLL
13,2018/9/23 15:59:10,0,25.9,25.7,LLLLLLLLLL,LLLLLLLLLL,LLLL
14,2018/9/23 15:59:11,0,25.9,25.7,LLLLLLLLLL,LLLLLLLLLL,LLLL
15,2018/9/23 15:59:12,0,25.9,25.8,LLLLLLLLLL,LLLLLLLLLL,LLLL
16,2018/9/23 15:59:13,0,25.9,25.8,LLLLLLLLLL,LLLLLLLLLL,LLLL
17,2018/9/23 15:59:14,0,25.9,25.8,LLLLLLLLLL,LLLLLLLLLL,LLLL
