#MCP-PMT ID,Ch No.,Date,# of Entries,HV Set Value / V,HV Start / V,HV End / V,Start Time,End Time
JT0695,0,20180918,721116,0,3260,2860,1537261979,1537269627
JT0695,1,20180918,42237,0,3260,2860,1537261979,1537268611
JT0695,1,20180918,6190,3260,3260,3260,1537261979,1537262045
JT0695,1,20180918,5990,3210,3210,3210,1537263070,1537263136
JT0695,1,20180918,6024,3160,3160,3160,1537264161,1537264228
JT0695,1,20180918,6161,3110,3110,3110,1537265261,1537265327
JT0695,1,20180918,6065,3060,3060,3060,1537266356,1537266422
JT0695,1,20180918,5977,2960,2960,2960,1537267452,1537267518
JT0695,1,20180918,5830,2860,2860,2860,1537268545,1537268611
JT0695,2,20180918,43060,0,3260,2860,1537262047,1537268679
JT0695,2,20180918,6275,3260,3260,3260,1537262047,1537262113
JT0695,2,20180918,6103,3210,3210,3210,1537263138,1537263204
JT0695,2,20180918,6209,3160,3160,3160,1537264230,1537264296
JT0695,2,20180918,6314,3110,3110,3110,1537265329,1537265395
JT0695,2,20180918,6162,3060,3060,3060,1537266423,1537266490
JT0695,2,20180918,6269,2960,2960,2960,1537267520,1537267587
JT0695,2,20180918,5728,2860,2860,2860,1537268612,1537268679
JT0695,3,20180918,45869,0,3260,2860,1537262115,1537268747
JT0695,3,20180918,6318,3260,3260,3260,1537262115,1537262181
JT0695,3,20180918,6158,3210,3210,3210,1537263206,1537263272
JT0695,3,20180918,7124,3160,3160,3160,1537264299,1537264365
JT0695,3,20180918,7012,3110,3110,3110,1537265397,1537265464
JT0695,3,20180918,6899,3060,3060,3060,1537266491,1537266558
JT0695,3,20180918,6706,2960,2960,2960,1537267588,1537267654
JT0695,3,20180918,5652,2860,2860,2860,1537268680,1537268747
JT0695,4,20180918,44095,0,3260,2860,1537262183,1537268814
JT0695,4,20180918,6193,3260,3260,3260,1537262183,1537262249
JT0695,4,20180918,6174,3210,3210,3210,1537263274,1537263340
JT0695,4,20180918,6366,3160,3160,3160,1537264367,1537264434
JT0695,4,20180918,6318,3110,3110,3110,1537265466,1537265532
JT0695,4,20180918,6254,3060,3060,3060,1537266560,1537266626
JT0695,4,20180918,6094,2960,2960,2960,1537267656,1537267722
JT0695,4,20180918,6696,2860,2860,2860,1537268748,1537268814
JT0695,5,20180918,42843,0,3260,2860,1537262251,1537268882
JT0695,5,20180918,6346,3260,3260,3260,1537262251,1537262317
JT0695,5,20180918,6082,3210,3210,3210,1537263342,1537263408
JT0695,5,20180918,6436,3160,3160,3160,1537264436,1537264502
JT0695,5,20180918,6293,3110,3110,3110,1537265534,1537265600
JT0695,5,20180918,6190,3060,3060,3060,1537266628,1537266694
JT0695,5,20180918,5939,2960,2960,2960,1537267724,1537267790
JT0695,5,20180918,5557,2860,2860,2860,1537268816,1537268882
JT0695,6,20180918,43235,0,3260,2860,1537262319,1537268950
JT0695,6,20180918,6265,3260,3260,3260,1537262319,1537262385
JT0695,6,20180918,6283,3210,3210,3210,1537263409,1537263476
JT0695,6,20180918,6430,3160,3160,3160,1537264504,1537264570
JT0695,6,20180918,6307,3110,3110,3110,1537265602,1537265668
JT0695,6,20180918,6240,3060,3060,3060,1537266696,1537266762
JT0695,6,20180918,6169,2960,2960,2960,1537267791,1537267858
JT0695,6,20180918,5541,2860,2860,2860,1537268884,1537268950
JT0695,7,20180918,44332,0,3260,2860,1537262387,1537269018
JT0695,7,20180918,6490,3260,3260,3260,1537262387,1537262453
JT0695,7,20180918,6248,3210,3210,3210,1537263477,1537263543
JT0695,7,20180918,6440,3160,3160,3160,1537264572,1537264639
JT0695,7,20180918,6470,3110,3110,3110,1537265670,1537265736
JT0695,7,20180918,6595,3060,3060,3060,1537266764,1537266830
JT0695,7,20180918,6267,2960,2960,2960,1537267859,1537267926
JT0695,7,20180918,5822,2860,2860,2860,1537268951,1537269018
JT0695,8,20180918,43000,0,3260,2860,1537262455,1537269085
JT0695,8,20180918,6431,3260,3260,3260,1537262455,1537262521
JT0695,8,20180918,6273,3210,3210,3210,1537263545,1537263611
JT0695,8,20180918,6400,3160,3160,3160,1537264640,1537264707
JT0695,8,20180918,6381,3110,3110,3110,1537265738,1537265804
JT0695,8,20180918,6268,3060,3060,3060,1537266832,1537266898
JT0695,8,20180918,5930,2960,2960,2960,1537267927,1537267993
JT0695,8,20180918,5317,2860,2860,2860,1537269019,1537269085
JT0695,9,20180918,45429,0,3260,2860,1537262523,1537269153
JT0695,9,20180918,6441,3260,3260,3260,1537262523,1537262589
JT0695,9,20180918,6504,3210,3210,3210,1537263613,1537263679
JT0695,9,20180918,6677,3160,3160,3160,1537264709,1537264776
JT0695,9,20180918,6627,3110,3110,3110,1537265806,1537265872
JT0695,9,20180918,6651,3060,3060,3060,1537266900,1537266966
JT0695,9,20180918,6300,2960,2960,2960,1537267995,1537268061
JT0695,9,20180918,6229,2860,2860,2860,1537269087,1537269153
JT0695,10,20180918,46513,0,3260,2860,1537262590,1537269221
JT0695,10,20180918,6476,3260,3260,3260,1537262590,1537262657
JT0695,10,20180918,6479,3210,3210,3210,1537263680,1537263747
JT0695,10,20180918,6767,3160,3160,3160,1537264777,1537264844
JT0695,10,20180918,6932,3110,3110,3110,1537265874,1537265940
JT0695,10,20180918,6878,3060,3060,3060,1537266968,1537267034
JT0695,10,20180918,6703,2960,2960,2960,1537268063,1537268129
JT0695,10,20180918,6278,2860,2860,2860,1537269155,1537269221
