#MCP-PMT ID,Ch No.,Date,Parameter1(b),Parameter2(a)
JT0695,0,20180923,-15.2501,0.00488739
JT0695,1,20180923,-17.9079,0.00581841
JT0695,2,20180923,-16.1708,0.00525109
JT0695,3,20180923,-17.4161,0.00564592
JT0695,4,20180923,-16.0345,0.00522025
JT0695,5,20180923,-15.2509,0.00493085
JT0695,6,20180923,-14.7576,0.00474782
JT0695,7,20180923,-14.6388,0.00470441
JT0695,8,20180923,-15.0029,0.00478564
JT0695,9,20180923,-15.8261,0.00496003
JT0695,10,20180923,-13.1334,0.00418424
JT0695,11,20180923,-13.3245,0.00424831
JT0695,12,20180923,-14.7413,0.00465555
JT0695,13,20180923,-11.2753,0.00358021
JT0695,14,20180923,-14.4984,0.00460286
JT0695,15,20180923,-15.2998,0.00485684
JT0695,16,20180923,-15.8893,0.00499637
