#MCP-PMT ID,Ch No.,Date,TTS Sigma (ps),Error of TTS Sigma (ps)
JT0695,0,20180923,24.1226,1.23136
JT0695,1,20180923,19.5623,2.49985
JT0695,2,20180923,28.0224,2.11637
JT0695,3,20180923,28.5142,3.19971
JT0695,4,20180923,27.1151,2.54857
JT0695,5,20180923,29.7051,5.12039
JT0695,6,20180923,29.4656,2.77102
JT0695,7,20180923,27.9524,3.53668
JT0695,8,20180923,30.2595,2.37684
JT0695,9,20180923,16.0152,6.43018
JT0695,10,20180923,24.1629,6.78683
JT0695,11,20180923,11.6631,7.55904
JT0695,12,20180923,23.7164,6.58943
JT0695,13,20180923,24.5412,6.19623
JT0695,14,20180923,20.21,4.82174
JT0695,15,20180923,22.8849,5.30929
JT0695,16,20180923,22.1708,5.5535
