#MCP-PMT ID,Ch No.,Date,# of Entries,HV Set Value / V,HV Start / V,HV End / V,Start Time,End Time
JT0695,0,20180923,720001,0,3260,2860,1537677538,1537685176
JT0695,1,20180923,41606,0,3260,2860,1537677538,1537684161
JT0695,1,20180923,5891,3260,3260,3260,1537677538,1537677604
JT0695,1,20180923,5904,3210,3210,3210,1537678629,1537678695
JT0695,1,20180923,6004,3160,3160,3160,1537679719,1537679786
JT0695,1,20180923,6041,3110,3110,3110,1537680817,1537680883
JT0695,1,20180923,5971,3060,3060,3060,1537681912,1537681978
JT0695,1,20180923,6047,2960,2960,2960,1537683005,1537683072
JT0695,1,20180923,5748,2860,2860,2860,1537684095,1537684161
JT0695,2,20180923,42296,0,3260,2860,1537677606,1537684229
JT0695,2,20180923,6010,3260,3260,3260,1537677606,1537677672
JT0695,2,20180923,5929,3210,3210,3210,1537678697,1537678763
JT0695,2,20180923,6174,3160,3160,3160,1537679788,1537679854
JT0695,2,20180923,6150,3110,3110,3110,1537680885,1537680952
JT0695,2,20180923,6187,3060,3060,3060,1537681980,1537682047
JT0695,2,20180923,6074,2960,2960,2960,1537683073,1537683140
JT0695,2,20180923,5772,2860,2860,2860,1537684162,1537684229
JT0695,3,20180923,42282,0,3260,2860,1537677674,1537684296
JT0695,3,20180923,5971,3260,3260,3260,1537677674,1537677740
JT0695,3,20180923,5925,3210,3210,3210,1537678765,1537678831
JT0695,3,20180923,6075,3160,3160,3160,1537679856,1537679922
JT0695,3,20180923,6199,3110,3110,3110,1537680954,1537681020
JT0695,3,20180923,6201,3060,3060,3060,1537682048,1537682115
JT0695,3,20180923,6057,2960,2960,2960,1537683141,1537683207
JT0695,3,20180923,5854,2860,2860,2860,1537684230,1537684296
JT0695,4,20180923,46063,0,3260,2860,1537677742,1537684364
JT0695,4,20180923,5950,3260,3260,3260,1537677742,1537677808
JT0695,4,20180923,5821,3210,3210,3210,1537678832,1537678899
JT0695,4,20180923,6905,3160,3160,3160,1537679925,1537679991
JT0695,4,20180923,7065,3110,3110,3110,1537681022,1537681088
JT0695,4,20180923,6958,3060,3060,3060,1537682116,1537682183
JT0695,4,20180923,6803,2960,2960,2960,1537683209,1537683275
JT0695,4,20180923,6561,2860,2860,2860,1537684298,1537684364
JT0695,5,20180923,42026,0,3260,2860,1537677810,1537684432
JT0695,5,20180923,6049,3260,3260,3260,1537677810,1537677876
JT0695,5,20180923,5924,3210,3210,3210,1537678900,1537678967
JT0695,5,20180923,6206,3160,3160,3160,1537679993,1537680060
JT0695,5,20180923,6225,3110,3110,3110,1537681090,1537681157
JT0695,5,20180923,6072,3060,3060,3060,1537682185,1537682251
JT0695,5,20180923,5995,2960,2960,2960,1537683277,1537683343
JT0695,5,20180923,5555,2860,2860,2860,1537684366,1537684432
JT0695,6,20180923,42581,0,3260,2860,1537677878,1537684499
JT0695,6,20180923,6191,3260,3260,3260,1537677878,1537677944
JT0695,6,20180923,6074,3210,3210,3210,1537678968,1537679034
JT0695,6,20180923,6235,3160,3160,3160,1537680062,1537680128
JT0695,6,20180923,6365,3110,3110,3110,1537681158,1537681225
JT0695,6,20180923,6088,3060,3060,3060,1537682253,1537682319
JT0695,6,20180923,6120,2960,2960,2960,1537683345,1537683411
JT0695,6,20180923,5508,2860,2860,2860,1537684433,1537684499
JT0695,7,20180923,45151,0,3260,2860,1537677946,1537684567
JT0695,7,20180923,6160,3260,3260,3260,1537677946,1537678012
JT0695,7,20180923,6105,3210,3210,3210,1537679036,1537679102
JT0695,7,20180923,6700,3160,3160,3160,1537680130,1537680196
JT0695,7,20180923,6792,3110,3110,3110,1537681226,1537681293
JT0695,7,20180923,6680,3060,3060,3060,1537682320,1537682387
JT0695,7,20180923,6583,2960,2960,2960,1537683412,1537683479
JT0695,7,20180923,6131,2860,2860,2860,1537684501,1537684567
JT0695,8,20180923,41959,0,3260,2860,1537678014,1537684635
JT0695,8,20180923,6346,3260,3260,3260,1537678014,1537678080
JT0695,8,20180923,6005,3210,3210,3210,1537679104,1537679170
JT0695,8,20180923,6377,3160,3160,3160,1537680198,1537680264
JT0695,8,20180923,6210,3110,3110,3110,1537681294,1537681361
JT0695,8,20180923,6093,3060,3060,3060,1537682389,1537682455
JT0695,8,20180923,5829,2960,2960,2960,1537683480,1537683546
JT0695,8,20180923,5099,2860,2860,2860,1537684568,1537684635
JT0695,9,20180923,45910,0,3260,2860,1537678081,1537684703
JT0695,9,20180923,6363,3260,3260,3260,1537678081,1537678148
JT0695,9,20180923,6299,3210,3210,3210,1537679172,1537679238
JT0695,9,20180923,6853,3160,3160,3160,1537680266,1537680333
JT0695,9,20180923,6683,3110,3110,3110,1537681363,1537681429
JT0695,9,20180923,6752,3060,3060,3060,1537682456,1537682523
JT0695,9,20180923,6618,2960,2960,2960,1537683548,1537683614
JT0695,9,20180923,6342,2860,2860,2860,1537684636,1537684703
JT0695,10,20180923,47316,0,3260,2860,1537678149,1537684770
JT0695,10,20180923,6307,3260,3260,3260,1537678149,1537678215
JT0695,10,20180923,6493,3210,3210,3210,1537679239,1537679306
JT0695,10,20180923,6949,3160,3160,3160,1537680334,1537680401
JT0695,10,20180923,7115,3110,3110,3110,1537681430,1537681497
JT0695,10,20180923,6925,3060,3060,3060,1537682524,1537682591
JT0695,10,20180923,6918,2960,2960,2960,1537683615,1537683681
JT0695,10,20180923,6609,2860,2860,2860,1537684704,1537684770
JT0695,11,20180923,48428,0,3260,2860,1537678217,1537684838
JT0695,11,20180923,6261,3260,3260,3260,1537678217,1537678283
JT0695,11,20180923,6337,3210,3210,3210,1537679307,1537679374
JT0695,11,20180923,7192,3160,3160,3160,1537680403,1537680469
JT0695,11,20180923,7455,3110,3110,3110,1537681498,1537681565
JT0695,11,20180923,7259,3060,3060,3060,1537682592,1537682659
JT0695,11,20180923,7039,2960,2960,2960,1537683683,1537683749
JT0695,11,20180923,6885,2860,2860,2860,1537684771,1537684838
JT0695,12,20180923,47118,0,3260,2860,1537678285,1537684906
JT0695,12,20180923,6190,3260,3260,3260,1537678285,1537678351
JT0695,12,20180923,6280,3210,3210,3210,1537679375,1537679441
JT0695,12,20180923,7079,3160,3160,3160,1537680471,1537680537
JT0695,12,20180923,7038,3110,3110,3110,1537681567,1537681633
JT0695,12,20180923,6992,3060,3060,3060,1537682660,1537682727
JT0695,12,20180923,6833,2960,2960,2960,1537683751,1537683817
JT0695,12,20180923,6706,2860,2860,2860,1537684839,1537684906
JT0695,13,20180923,45809,0,3260,2860,1537678353,1537684973
JT0695,13,20180923,6354,3260,3260,3260,1537678353,1537678419
JT0695,13,20180923,6375,3210,3210,3210,1537679443,1537679509
JT0695,13,20180923,6821,3160,3160,3160,1537680539,1537680606
JT0695,13,20180923,6603,3110,3110,3110,1537681635,1537681701
JT0695,13,20180923,6756,3060,3060,3060,1537682728,1537682795
JT0695,13,20180923,6641,2960,2960,2960,1537683818,1537683885
JT0695,13,20180923,6259,2860,2860,2860,1537684907,1537684973
