#MCP-PMT ID,Ch No.,Date,Parameter1(b),Parameter2(a)
JT0695,0,20181004,-14.8787,0.00476531
JT0695,1,20181004,-17.3111,0.0056241
JT0695,2,20181004,-15.467,0.00502251
JT0695,3,20181004,-15.6244,0.00507385
JT0695,4,20181004,-15.5429,0.00505032
JT0695,5,20181004,-14.8501,0.00479906
JT0695,6,20181004,-14.6305,0.00469581
JT0695,7,20181004,-14.4782,0.00464889
JT0695,8,20181004,-14.5556,0.00464134
JT0695,9,20181004,-15.8112,0.0049508
JT0695,10,20181004,-12.991,0.00413238
JT0695,11,20181004,-13.2186,0.00421756
JT0695,12,20181004,-14.6078,0.00460678
JT0695,13,20181004,-11.3827,0.00361729
JT0695,14,20181004,-14.5628,0.0046253
JT0695,15,20181004,-15.373,0.00488206
JT0695,16,20181004,-15.9566,0.00502024
