#MCP-PMT ID,Ch No.,Date,Parameter1(b),Parameter2(a)
JT0695,0,20181006,-14.9556,0.00479131
JT0695,1,20181006,-16.9779,0.00551745
JT0695,2,20181006,-16.0281,0.00520066
JT0695,3,20181006,-15.7678,0.00512677
JT0695,4,20181006,-15.7178,0.00510827
JT0695,5,20181006,-15.1448,0.00489353
JT0695,6,20181006,-14.434,0.00464209
JT0695,7,20181006,-14.6272,0.00469618
JT0695,8,20181006,-14.4797,0.00461921
JT0695,9,20181006,-15.8814,0.00497573
JT0695,10,20181006,-12.9314,0.00411482
JT0695,11,20181006,-13.5357,0.00432122
JT0695,12,20181006,-14.8638,0.00468141
JT0695,13,20181006,-11.3788,0.003618
JT0695,14,20181006,-14.4299,0.00458771
JT0695,15,20181006,-15.3797,0.00488379
JT0695,16,20181006,-15.9594,0.00501585
