#MCP-PMT ID,Ch No.,Date,# of Entries,HV Set Value / V,HV Start / V,HV End / V,Start Time,End Time
JT0695,0,20181006,744166,0,3260,2860,1538818383,1538826097
JT0695,1,20181006,43623,0,3260,2860,1538818383,1538825080
JT0695,1,20181006,5679,3260,3260,3260,1538818383,1538818449
JT0695,1,20181006,5709,3210,3210,3210,1538819534,1538819600
JT0695,1,20181006,6578,3160,3160,3160,1538820626,1538820693
JT0695,1,20181006,6591,3110,3110,3110,1538821728,1538821795
JT0695,1,20181006,6488,3060,3060,3060,1538822825,1538822891
JT0695,1,20181006,6407,2960,2960,2960,1538823922,1538823989
JT0695,1,20181006,6171,2860,2860,2860,1538825013,1538825080
JT0695,2,20181006,44888,0,3260,2860,1538818451,1538825148
JT0695,2,20181006,5897,3260,3260,3260,1538818451,1538818517
JT0695,2,20181006,5867,3210,3210,3210,1538819602,1538819668
JT0695,2,20181006,6784,3160,3160,3160,1538820695,1538820762
JT0695,2,20181006,6738,3110,3110,3110,1538821797,1538821863
JT0695,2,20181006,6778,3060,3060,3060,1538822893,1538822960
JT0695,2,20181006,6641,2960,2960,2960,1538823990,1538824056
JT0695,2,20181006,6183,2860,2860,2860,1538825081,1538825148
JT0695,3,20181006,48089,0,3260,2860,1538818519,1538825216
JT0695,3,20181006,5817,3260,3260,3260,1538818519,1538818585
JT0695,3,20181006,6031,3210,3210,3210,1538819670,1538819736
JT0695,3,20181006,7493,3160,3160,3160,1538820764,1538820830
JT0695,3,20181006,7278,3110,3110,3110,1538821865,1538821931
JT0695,3,20181006,7417,3060,3060,3060,1538822961,1538823028
JT0695,3,20181006,7131,2960,2960,2960,1538824058,1538824124
JT0695,3,20181006,6922,2860,2860,2860,1538825149,1538825216
JT0695,4,20181006,46236,0,3260,2860,1538818587,1538825283
JT0695,4,20181006,5722,3260,3260,3260,1538818587,1538818653
JT0695,4,20181006,5901,3210,3210,3210,1538819738,1538819804
JT0695,4,20181006,7205,3160,3160,3160,1538820833,1538820899
JT0695,4,20181006,7038,3110,3110,3110,1538821933,1538822000
JT0695,4,20181006,6927,3060,3060,3060,1538823030,1538823096
JT0695,4,20181006,6885,2960,2960,2960,1538824126,1538824192
JT0695,4,20181006,6558,2860,2860,2860,1538825217,1538825283
JT0695,5,20181006,43007,0,3260,2860,1538818655,1538825351
JT0695,5,20181006,5963,3260,3260,3260,1538818655,1538818722
JT0695,5,20181006,5853,3210,3210,3210,1538819806,1538819872
JT0695,5,20181006,6468,3160,3160,3160,1538820902,1538820968
JT0695,5,20181006,6414,3110,3110,3110,1538822002,1538822068
JT0695,5,20181006,6407,3060,3060,3060,1538823098,1538823165
JT0695,5,20181006,6253,2960,2960,2960,1538824194,1538824260
JT0695,5,20181006,5649,2860,2860,2860,1538825285,1538825351
JT0695,6,20181006,43636,0,3260,2860,1538818723,1538825419
JT0695,6,20181006,5945,3260,3260,3260,1538818723,1538818790
JT0695,6,20181006,5933,3210,3210,3210,1538819874,1538819940
JT0695,6,20181006,6668,3160,3160,3160,1538820970,1538821037
JT0695,6,20181006,6336,3110,3110,3110,1538822070,1538822137
JT0695,6,20181006,6560,3060,3060,3060,1538823166,1538823233
JT0695,6,20181006,6373,2960,2960,2960,1538824262,1538824328
JT0695,6,20181006,5821,2860,2860,2860,1538825353,1538825419
JT0695,7,20181006,46602,0,3260,2860,1538818791,1538825487
JT0695,7,20181006,5995,3260,3260,3260,1538818791,1538818858
