#MCP-PMT ID,Ch No.,Date,TTS Sigma (ps),Error of TTS Sigma (ps)
JT0695,0,20181007,25.208,1.02194
JT0695,1,20181007,29.2801,2.07473
JT0695,2,20181007,28.199,2.69624
JT0695,3,20181007,17.4428,5.42659
JT0695,4,20181007,26.9074,2.82566
JT0695,5,20181007,33.6088,4.26144
JT0695,6,20181007,25.7407,2.36481
JT0695,7,20181007,28.222,3.03519
JT0695,8,20181007,29.4532,2.47796
JT0695,9,20181007,13.0591,4.85126
JT0695,10,20181007,26.6792,2.50571
JT0695,11,20181007,24.0147,5.01292
JT0695,12,20181007,24.317,3.80732
JT0695,13,20181007,26.3701,4.26765
JT0695,14,20181007,23.7996,5.39587
JT0695,15,20181007,23.5922,5.31427
JT0695,16,20181007,22.6415,5.8513
