#MCP-PMT ID,Ch No.,Date,TTS Sigma (ps),Error of TTS Sigma (ps)
JT0695,0,20181007,25.218,1.08709
JT0695,1,20181007,25.9066,3.09775
JT0695,2,20181007,28.849,2.07134
JT0695,3,20181007,19.4433,4.12457
JT0695,4,20181007,23.6133,2.65478
JT0695,5,20181007,31.878,4.05065
JT0695,6,20181007,27.789,2.13158
JT0695,7,20181007,28.0347,3.02819
JT0695,8,20181007,32.1236,3.42537
JT0695,9,20181007,15.3401,6.47276
JT0695,10,20181007,26.6793,3.69102
JT0695,11,20181007,22.668,5.25831
JT0695,12,20181007,23.2504,5.2379
JT0695,13,20181007,26.0227,5.40483
JT0695,14,20181007,24.9727,4.21302
JT0695,15,20181007,23.2154,5.35053
JT0695,16,20181007,23.7011,6.04426
