#MCP-PMT ID,Ch No.,Date,TTS Sigma (ps),Error of TTS Sigma (ps)
YH0205,0,20181029,23.2336,1.34738
YH0205,1,20181029,29.3987,2.78367
YH0205,2,20181029,30.8151,2.40084
YH0205,3,20181029,21.2712,3.84164
YH0205,4,20181029,12.4014,6.73385
YH0205,5,20181029,0,0
YH0205,6,20181029,0,0
YH0205,7,20181029,32.949,1.76499
YH0205,8,20181029,0,0
YH0205,9,20181029,17.1647,3.51802
YH0205,10,20181029,18.1536,4.89371
YH0205,11,20181029,17.7101,6.91619
YH0205,12,20181029,24.2336,5.76761
YH0205,13,20181029,25.3732,4.58436
YH0205,14,20181029,23.7376,5.40532
YH0205,15,20181029,22.6771,4.89361
YH0205,16,20181029,26.1512,6.20265
