#MCP-PMT ID,Ch No.,Date,Parameter1(b),Parameter2(a)
YH0205,0,20181029,-17.4677,0.00786499
YH0205,1,20181029,-18.4415,0.00825733
YH0205,2,20181029,-17.6545,0.00787914
YH0205,3,20181029,-18.2776,0.00819732
YH0205,4,20181029,-17.3453,0.0078467
YH0205,5,20181029,-17.8018,0.00810226
YH0205,6,20181029,-17.0116,0.00773134
YH0205,7,20181029,-17.3725,0.00785543
YH0205,8,20181029,-18.2391,0.00829692
YH0205,9,20181029,-18.6459,0.00831939
YH0205,10,20181029,-16.389,0.0074752
YH0205,11,20181029,-16.4185,0.00744251
YH0205,12,20181029,-17.7324,0.00799724
YH0205,13,20181029,-14.55,0.00656348
YH0205,14,20181029,-17.5074,0.00785338
YH0205,15,20181029,-18.4464,0.00820524
YH0205,16,20181029,-19.065,0.00830557
