#MCP-PMT ID,Ch No.,Date,TTS Sigma (ps),Error of TTS Sigma (ps)
YH0205,0,20181107,26.8317,0.982251
YH0205,1,20181107,24.2163,2.35365
YH0205,2,20181107,31.5896,2.27573
YH0205,3,20181107,25.9879,4.27414
YH0205,4,20181107,35.4449,2.40971
YH0205,5,20181107,28.9861,3.07272
YH0205,6,20181107,23.9445,2.30216
YH0205,7,20181107,27.8091,2.43919
YH0205,8,20181107,32.4118,3.17649
YH0205,9,20181107,15.91,1.994
YH0205,10,20181107,23.6254,5.24133
YH0205,11,20181107,27.207,2.50596
YH0205,12,20181107,26.4042,5.24663
YH0205,13,20181107,27.8707,4.34408
YH0205,14,20181107,25.8414,4.32365
YH0205,15,20181107,24.8737,5.02694
YH0205,16,20181107,27.1852,7.30263
