#ベンダ,GRAPHTEC Corporation,,,,,,
#モデル,GL820,,,,,,
#バージョン,Ver1.03,,,,,,
#測定間隔,2s,,,,,,
#測定点数,810,,,,,,
#開始時刻,2018-10-04,15:59:59,,,,,
#終了時刻,2018-10-04,16:27:00,,,,,
#トリガ時刻,2018-10-04,16:00:01,,,,,
#アンプ設定,,,,,,,
#CH,信号名,入力,レンジ,フィルタ,スパン,,
#CH1,CH 1,TEMP,TC_K,Off,100,0,[degC]
#CH2,CH 2,TEMP,TC_K,Off,100,0,[degC]
#Logic/Pulse,Off,,,,,,
#測定値,,,,,,,
#番号,日付 時間,ms,CH1,CH2,Alarm1  -10,Alarm11 -20,Alarm Out
#NO.,Time, ms,degC,degC,A1234567890,A1234567890,AO1234
1,2018/10/4 16:00:01,0,23.6,23.8,LLLLLLLLLL,LLLLLLLLLL,LLLL
2,2018/10/4 16:00:03,0,23.6,23.8,LLLLLLLLLL,LLLLLLLLLL,LLLL
3,2018/10/4 16:00:05,0,23.7,23.8,LLLLLLLLLL,LLLLLLLLLL,LLLL
4,2018/10/4 16:00:07,0,23.6,23.7,LLLLLLLLLL,LLLLLLLLLL,LLLL
5,2018/10/4 16:00:09,0,23.7,23.8,LLLLLLLLLL,LLLLLLLLLL,LLLL
6,2018/10/4 16:00:11,0,23.6,23.7,LLLLLLLLLL,LLLLLLLLLL,LLLL
7,2018/10/4 16:00:13,0,23.6,23.7,LLLLLLLLLL,LLLLLLLLLL,LLLL
8,2018/10/4 16:00:15,0,23.6,23.7,LLLLLLLLLL,LLLLLLLLLL,LLLL
9,2018/10/4 16:00:17,0,23.6,23.8,LLLLLLLLLL,LLLLLLLLLL,LLLL
10,2018/10/4 16:00:19,0,23.6,23.7,LLLLLLLLLL,LLLLLLLLLL,LLLL
11,2018/10/4 16:00:21,0,23.6,23.8,LLLLLLLLLL,LLLLLLLLLL,LLLL
12,2018/10/4 16:00:23,0,23.7,23.8,LLLLLLLLLL,LLLLLLLLLL,LLLL
13,2018/10/4 16:00:25,0,23.7,23.8,LLLLLLLLLL,LLLLLLLLLL,LLLL
14,2018/10/4 16:00:27,0,23.7,23.8,LLLLLLLLLL,LLLLLLLLLL,LLLL
15,2018/10/4 16:00:29,0,23.8,23.8,LLLLLLLLLL,LLLLLLLLLL,LLLL
16,2018/10/4 16:00:31,0,23.7,23.8,LLLLLLLLLL,LLLLLLLLLL,LLLL
17,2018/10/4 16:00:33,0,23.7,23.8,LLLLLLLLLL,LLLLLLLLLL,LLLL
18,2018/10/4 16:00:35,0,23.6,23.8,LLLLLLLLLL,LLLLLLLLLL,LLLL
19,2018/10/4 16:00:37,0,23.7,23.8,LLLLLLLLLL,LLLLLLLLLL,LLLL
20,2018/10/4 16:00:39,0,23.7,23.8,LLLLLLLLLL,LLLLLLLLLL,LLLL
21,2018/10/4 16:00:41,0,23.7,23.8,LLLLLLLLLL,LLLLLLLLLL,LLLL
22,2018/10/4 16:00:43,0,23.7,23.8,LLLLLLLLLL,LLLLLLLLLL,LLLL
23,2018/10/4 16:00:45,0,23.7,23.8,LLLLLLLLLL,LLLLLLLLLL,LLLL
24,2018/10/4 16:00:47,0,23.7,23.7,LLLLLLLLLL,LLLLLLLLLL,LLLL
25,2018/10/4 16:00:49,0,23.6,23.8,LLLLLLLLLL,LLLLLLLLLL,LLLL
26,2018/10/4 16:00:51,0,23.7,23.7,LLLLLLLLLL,LLLLLLLLLL,LLLL
27,2018/10/4 16:00:53,0,23.7,23.7,LLLLLLLLLL,LLLLLLLLLL,LLLL
28,2018/10/4 16:00:55,0,23.7,23.7,LLLLLLLLLL,LLLLLLLLLL,LLLL
29,2018/10/4 16:00:57,0,23.7,23.7,LLLLLLLLLL,LLLLLLLLLL,LLLL
30,2018/10/4 16:00:59,0,23.7,23.7,LLLLLLLLLL,LLLLLLLLLL,LLLL
31,2018/10/4 16:01:01,0,23.7,23.7,LLLLLLLLLL,LLLLLLLLLL,LLLL
32,2018/10/4 16:01:03,0,23.7,23.8,LLLLLLLLLL,LLLLLLLLLL,LLLL
33,2018/10/4 16:01:05,0,23.7,23.8,LLLLLLLLLL,LLLLLLLLLL,LLLL
34,2018/10/4 16:01:07,0,23.7,23.7,LLLLLLLLLL,LLLLLLLLLL,LLLL
