#モデル,GL820,,,,,,
#バージョン,Ver1.03,,,,,,
#測定間隔,30s,,,,,,
#測定点数,187,,,,,,
#開始時刻,2018-10-22,13:59:33,,,,,
#終了時刻,2018-10-22,15:33:33,,,,,
#トリガ時刻,2018-10-22,14:00:04,,,,,
#アンプ設定,,,,,,,
#CH,信号名,入力,レンジ,フィルタ,スパン,,
#CH1,CH 1,TEMP,TC_K,Off,100,0,[degC]
#CH2,CH 2,TEMP,TC_K,Off,100,0,[degC]
#Logic/Pulse,Off,,,,,,
#測定値,,,,,,,
#番号,日付 時間,ms,CH1,CH2,Alarm1  -10,Alarm11 -20,Alarm Out
#NO.,Time, ms,degC,degC,A1234567890,A1234567890,AO1234
1,2018/10/22 14:00:04,0,20.5,20.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
2,2018/10/22 14:00:34,0,20.5,20.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
3,2018/10/22 14:01:04,0,20.5,20.7,LLLLLLLLLL,LLLLLLLLLL,LLLL
4,2018/10/22 14:01:34,0,20.6,20.7,LLLLLLLLLL,LLLLLLLLLL,LLLL
5,2018/10/22 14:02:04,0,20.5,20.7,LLLLLLLLLL,LLLLLLLLLL,LLLL
6,2018/10/22 14:02:34,0,20.5,20.7,LLLLLLLLLL,LLLLLLLLLL,LLLL
7,2018/10/22 14:03:04,0,20.5,20.7,LLLLLLLLLL,LLLLLLLLLL,LLLL
8,2018/10/22 14:03:34,0,20.6,20.8,LLLLLLLLLL,LLLLLLLLLL,LLLL
9,2018/10/22 14:04:04,0,20.8,20.8,LLLLLLLLLL,LLLLLLLLLL,LLLL
10,2018/10/22 14:04:34,0,21,20.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
11,2018/10/22 14:05:04,0,21.3,21.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
12,2018/10/22 14:05:34,0,21.8,21.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
13,2018/10/22 14:06:04,0,22.1,21.5,LLLLLLLLLL,LLLLLLLLLL,LLLL
14,2018/10/22 14:06:34,0,22.5,21.7,LLLLLLLLLL,LLLLLLLLLL,LLLL
15,2018/10/22 14:07:04,0,22.9,21.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
16,2018/10/22 14:07:34,0,23.3,22.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
17,2018/10/22 14:08:04,0,23.7,22.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
18,2018/10/22 14:08:34,0,24.1,22.5,LLLLLLLLLL,LLLLLLLLLL,LLLL
19,2018/10/22 14:09:04,0,24.5,22.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
20,2018/10/22 14:09:34,0,24.9,22.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
21,2018/10/22 14:10:04,0,25.1,23.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
22,2018/10/22 14:10:34,0,25.4,23.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
23,2018/10/22 14:11:04,0,25.7,23.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
