#ベンダ,GRAPHTEC Corporation,,,,,,
#モデル,GL820,,,,,,
#バージョン,Ver1.03,,,,,,
#測定間隔,30s,,,,,,
#測定点数,89,,,,,,
#開始時刻,2018-10-23,22:06:22,,,,,
#終了時刻,2018-10-23,22:51:06,,,,,
#トリガ時刻,2018-10-23,22:06:53,,,,,
#アンプ設定,,,,,,,
#CH,信号名,入力,レンジ,フィルタ,スパン,,
#CH1,CH 1,TEMP,TC_K,Off,100,0,[degC]
#CH2,CH 2,TEMP,TC_K,Off,100,0,[degC]
#Logic/Pulse,Off,,,,,,
#測定値,,,,,,,
#番号,日付 時間,ms,CH1,CH2,Alarm1  -10,Alarm11 -20,Alarm Out
#NO.,Time, ms,degC,degC,A1234567890,A1234567890,AO1234
1,2018/10/23 22:06:53,0,30,26,LLLLLLLLLL,LLLLLLLLLL,LLLL
2,2018/10/23 22:07:23,0,30.1,26,LLLLLLLLLL,LLLLLLLLLL,LLLL
3,2018/10/23 22:07:53,0,30.1,26,LLLLLLLLLL,LLLLLLLLLL,LLLL
4,2018/10/23 22:08:23,0,30.1,25.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
5,2018/10/23 22:08:53,0,30.1,25.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
6,2018/10/23 22:09:23,0,30.1,25.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
7,2018/10/23 22:09:53,0,30,26,LLLLLLLLLL,LLLLLLLLLL,LLLL
8,2018/10/23 22:10:23,0,30,25.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
9,2018/10/23 22:10:53,0,30,25.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
10,2018/10/23 22:11:23,0,30,26,LLLLLLLLLL,LLLLLLLLLL,LLLL
11,2018/10/23 22:11:53,0,30,25.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
12,2018/10/23 22:12:23,0,30.1,25.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
13,2018/10/23 22:12:53,0,30.1,26,LLLLLLLLLL,LLLLLLLLLL,LLLL
14,2018/10/23 22:13:23,0,30.1,26,LLLLLLLLLL,LLLLLLLLLL,LLLL
15,2018/10/23 22:13:53,0,30.1,26,LLLLLLLLLL,LLLLLLLLLL,LLLL
16,2018/10/23 22:14:23,0,30.1,26,LLLLLLLLLL,LLLLLLLLLL,LLLL
17,2018/10/23 22:14:53,0,30.1,26,LLLLLLLLLL,LLLLLLLLLL,LLLL
18,2018/10/23 22:15:23,0,30.1,26,LLLLLLLLLL,LLLLLLLLLL,LLLL
19,2018/10/23 22:15:53,0,30.1,26,LLLLLLLLLL,LLLLLLLLLL,LLLL
20,2018/10/23 22:16:23,0,30.1,26,LLLLLLLLLL,LLLLLLLLLL,LLLL
21,2018/10/23 22:16:53,0,30.1,26,LLLLLLLLLL,LLLLLLLLLL,LLLL
