#ベンダ,GRAPHTEC Corporation,,,,,,
#モデル,GL820,,,,,,
#バージョン,Ver1.03,,,,,,
#測定間隔,30s,,,,,,
#測定点数,1648,,,,,,
#開始時刻,2018-10-26,01:56:59,,,,,
#終了時刻,2018-10-26,15:41:25,,,,,
#トリガ時刻,2018-10-26,01:57:29,,,,,
#アンプ設定,,,,,,,
#CH,信号名,入力,レンジ,フィルタ,スパン,,
#CH1,CH 1,TEMP,TC_K,Off,100,0,[degC]
#CH2,CH 2,TEMP,TC_K,Off,100,0,[degC]
#Logic/Pulse,Off,,,,,,
#測定値,,,,,,,
#番号,日付 時間,ms,CH1,CH2,Alarm1  -10,Alarm11 -20,Alarm Out
#NO.,Time, ms,degC,degC,A1234567890,A1234567890,AO1234
1,2018/10/26 01:57:29,0,30.5,26.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
2,2018/10/26 01:57:59,0,30.5,26.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
3,2018/10/26 01:58:29,0,30.5,26.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
4,2018/10/26 01:58:59,0,30.4,26.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
5,2018/10/26 01:59:29,0,30.5,26.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
6,2018/10/26 01:59:59,0,30.4,26.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
7,2018/10/26 02:00:29,0,30.4,26.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
8,2018/10/26 02:00:59,0,30.3,26.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
9,2018/10/26 02:01:29,0,30.3,26.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
10,2018/10/26 02:01:59,0,30.1,26.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
11,2018/10/26 02:02:29,0,30,26.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
12,2018/10/26 02:02:59,0,29.7,26,LLLLLLLLLL,LLLLLLLLLL,LLLL
13,2018/10/26 02:03:29,0,29.4,25.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
14,2018/10/26 02:03:59,0,29.1,25.8,LLLLLLLLLL,LLLLLLLLLL,LLLL
15,2018/10/26 02:04:29,0,28.7,25.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
16,2018/10/26 02:04:59,0,28.3,25.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
17,2018/10/26 02:05:29,0,28,25.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
18,2018/10/26 02:05:59,0,27.6,25.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
19,2018/10/26 02:06:29,0,27.4,24.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
