#ベンダ,GRAPHTEC Corporation,,,,,,
#モデル,GL820,,,,,,
#バージョン,Ver1.03,,,,,,
#測定間隔,30s,,,,,,
#測定点数,2366,,,,,,
#開始時刻,2018-10-26,15:41:28,,,,,
#終了時刻,2018-10-27,11:24:51,,,,,
#トリガ時刻,2018-10-26,15:42:00,,,,,
#アンプ設定,,,,,,,
#CH,信号名,入力,レンジ,フィルタ,スパン,,
#CH1,CH 1,TEMP,TC_K,Off,100,0,[degC]
#CH2,CH 2,TEMP,TC_K,Off,100,0,[degC]
#Logic/Pulse,Off,,,,,,
#測定値,,,,,,,
#番号,日付 時間,ms,CH1,CH2,Alarm1  -10,Alarm11 -20,Alarm Out
#NO.,Time, ms,degC,degC,A1234567890,A1234567890,AO1234
1,2018/10/26 15:42:00,0,23.9,22.4,LLLLLLLLLL,LLLLLLLLLL,LLLL
2,2018/10/26 15:42:30,0,24.3,22.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
3,2018/10/26 15:43:00,0,24.6,22.8,LLLLLLLLLL,LLLLLLLLLL,LLLL
4,2018/10/26 15:43:30,0,25,22.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
5,2018/10/26 15:44:00,0,25.4,23.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
6,2018/10/26 15:44:30,0,25.7,23.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
7,2018/10/26 15:45:00,0,25.9,23.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
8,2018/10/26 15:45:30,0,26.2,23.5,LLLLLLLLLL,LLLLLLLLLL,LLLL
9,2018/10/26 15:46:00,0,26.4,23.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
10,2018/10/26 15:46:30,0,26.6,23.7,LLLLLLLLLL,LLLLLLLLLL,LLLL
11,2018/10/26 15:47:00,0,26.8,24,LLLLLLLLLL,LLLLLLLLLL,LLLL
12,2018/10/26 15:47:30,0,27,24.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
13,2018/10/26 15:48:00,0,27.2,24.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
14,2018/10/26 15:48:30,0,27.4,24.4,LLLLLLLLLL,LLLLLLLLLL,LLLL
15,2018/10/26 15:49:00,0,27.6,24.4,LLLLLLLLLL,LLLLLLLLLL,LLLL
16,2018/10/26 15:49:30,0,27.7,24.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
17,2018/10/26 15:50:00,0,27.9,24.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
18,2018/10/26 15:50:30,0,28,24.7,LLLLLLLLLL,LLLLLLLLLL,LLLL
19,2018/10/26 15:51:00,0,28.1,24.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
20,2018/10/26 15:51:30,0,28.3,24.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
21,2018/10/26 15:52:00,0,28.4,24.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
22,2018/10/26 15:52:30,0,28.5,25,LLLLLLLLLL,LLLLLLLLLL,LLLL
23,2018/10/26 15:53:00,0,28.5,25.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
24,2018/10/26 15:53:30,0,28.7,25.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
25,2018/10/26 15:54:00,0,28.7,25.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
26,2018/10/26 15:54:30,0,28.8,25.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
27,2018/10/26 15:55:00,0,28.9,25.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
28,2018/10/26 15:55:30,0,29,25.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
29,2018/10/26 15:56:00,0,29,25.4,LLLLLLLLLL,LLLLLLLLLL,LLLL
30,2018/10/26 15:56:30,0,29.2,25.4,LLLLLLLLLL,LLLLLLLLLL,LLLL
31,2018/10/26 15:57:00,0,29.2,25.5,LLLLLLLLLL,LLLLLLLLLL,LLLL
32,2018/10/26 15:57:30,0,29.3,25.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
33,2018/10/26 15:58:00,0,29.3,25.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
34,2018/10/26 15:58:30,0,29.3,25.5,LLLLLLLLLL,LLLLLLLLLL,LLLL
35,2018/10/26 15:59:00,0,29.3,25.5,LLLLLLLLLL,LLLLLLLLLL,LLLL
36,2018/10/26 15:59:30,0,29.4,25.5,LLLLLLLLLL,LLLLLLLLLL,LLLL
37,2018/10/26 16:00:00,0,29.4,25.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
38,2018/10/26 16:00:30,0,29.4,25.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
39,2018/10/26 16:01:00,0,29.4,25.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
40,2018/10/26 16:01:30,0,29.5,25.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
41,2018/10/26 16:02:00,0,29.5,25.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
42,2018/10/26 16:02:30,0,29.6,25.6,LLLLLLLLLL,LLLLLLLLLL,LLLL
43,2018/10/26 16:03:00,0,29.6,25.7,LLLLLLLLLL,LLLLLLLLLL,LLLL
44,2018/10/26 16:03:30,0,29.7,25.7,LLLLLLLLLL,LLLLLLLLLL,LLLL
45,2018/10/26 16:04:00,0,29.6,25.7,LLLLLLLLLL,LLLLLLLLLL,LLLL
46,2018/10/26 16:04:30,0,29.7,25.7,LLLLLLLLLL,LLLLLLLLLL,LLLL
47,2018/10/26 16:05:00,0,29.7,25.8,LLLLLLLLLL,LLLLLLLLLL,LLLL
48,2018/10/26 16:05:30,0,29.8,25.8,LLLLLLLLLL,LLLLLLLLLL,LLLL
49,2018/10/26 16:06:00,0,29.8,25.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
50,2018/10/26 16:06:30,0,29.8,25.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
51,2018/10/26 16:07:00,0,29.8,25.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
52,2018/10/26 16:07:30,0,29.8,25.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
53,2018/10/26 16:08:00,0,29.8,25.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
54,2018/10/26 16:08:30,0,29.9,25.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
55,2018/10/26 16:09:00,0,29.9,26,LLLLLLLLLL,LLLLLLLLLL,LLLL
56,2018/10/26 16:09:30,0,29.9,26,LLLLLLLLLL,LLLLLLLLLL,LLLL
57,2018/10/26 16:10:00,0,29.9,25.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
58,2018/10/26 16:10:30,0,29.9,25.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
59,2018/10/26 16:11:00,0,29.9,25.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
60,2018/10/26 16:11:30,0,30,25.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
61,2018/10/26 16:12:00,0,30,26,LLLLLLLLLL,LLLLLLLLLL,LLLL
62,2018/10/26 16:12:30,0,29.9,26,LLLLLLLLLL,LLLLLLLLLL,LLLL
63,2018/10/26 16:13:00,0,29.9,26,LLLLLLLLLL,LLLLLLLLLL,LLLL
64,2018/10/26 16:13:30,0,29.9,25.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
65,2018/10/26 16:14:00,0,30,25.9,LLLLLLLLLL,LLLLLLLLLL,LLLL
66,2018/10/26 16:14:30,0,30.1,26,LLLLLLLLLL,LLLLLLLLLL,LLLL
67,2018/10/26 16:15:00,0,30,26.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
68,2018/10/26 16:15:30,0,30,26,LLLLLLLLLL,LLLLLLLLLL,LLLL
69,2018/10/26 16:16:00,0,30,26.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
70,2018/10/26 16:16:30,0,30,26.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
71,2018/10/26 16:17:00,0,30.1,26.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
72,2018/10/26 16:17:30,0,30.1,26.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
73,2018/10/26 16:18:00,0,30.1,26.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
74,2018/10/26 16:18:30,0,30.1,26.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
75,2018/10/26 16:19:00,0,30.1,26.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
76,2018/10/26 16:19:30,0,30.1,26.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
77,2018/10/26 16:20:00,0,30.1,26.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
78,2018/10/26 16:20:30,0,30.1,26.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
79,2018/10/26 16:21:00,0,30.1,26.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
80,2018/10/26 16:21:30,0,30.1,26.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
81,2018/10/26 16:22:00,0,30.1,26.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
82,2018/10/26 16:22:30,0,30.2,26.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
