#ベンダ,GRAPHTEC Corporation,,,,,,
#モデル,GL820,,,,,,
#バージョン,Ver1.03,,,,,,
#測定間隔,2s,,,,,,
#測定点数,4215,,,,,,
#開始時刻,2018-10-29,19:59:52,,,,,
#終了時刻,2018-10-29,22:20:25,,,,,
#トリガ時刻,2018-10-29,19:59:55,,,,,
#アンプ設定,,,,,,,
#CH,信号名,入力,レンジ,フィルタ,スパン,,
#CH1,CH 1,TEMP,TC_K,Off,100,0,[degC]
#CH2,CH 2,TEMP,TC_K,Off,100,0,[degC]
#Logic/Pulse,Off,,,,,,
#測定値,,,,,,,
#番号,日付 時間,ms,CH1,CH2,Alarm1  -10,Alarm11 -20,Alarm Out
#NO.,Time, ms,degC,degC,A1234567890,A1234567890,AO1234
1,2018/10/29 19:59:55,0,34.6,33.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
2,2018/10/29 19:59:57,0,34.5,33.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
3,2018/10/29 19:59:59,0,34.6,33.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
4,2018/10/29 20:00:01,0,34.6,33.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
5,2018/10/29 20:00:03,0,34.6,33.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
6,2018/10/29 20:00:05,0,34.5,33.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
7,2018/10/29 20:00:07,0,34.6,33.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
8,2018/10/29 20:00:09,0,34.6,33.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
9,2018/10/29 20:00:11,0,34.6,33.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
10,2018/10/29 20:00:13,0,34.6,33.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
11,2018/10/29 20:00:15,0,34.6,33.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
12,2018/10/29 20:00:17,0,34.6,33.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
13,2018/10/29 20:00:19,0,34.5,33.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
14,2018/10/29 20:00:21,0,34.5,33.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
15,2018/10/29 20:00:23,0,34.5,33.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
16,2018/10/29 20:00:25,0,34.5,33.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
17,2018/10/29 20:00:27,0,34.5,33.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
18,2018/10/29 20:00:29,0,34.5,33.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
19,2018/10/29 20:00:31,0,34.5,33.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
20,2018/10/29 20:00:33,0,34.6,33.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
21,2018/10/29 20:00:35,0,34.5,33.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
22,2018/10/29 20:00:37,0,34.5,33.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
23,2018/10/29 20:00:39,0,34.6,33.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
24,2018/10/29 20:00:41,0,34.6,33.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
25,2018/10/29 20:00:43,0,34.7,33.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
26,2018/10/29 20:00:45,0,34.6,33.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
27,2018/10/29 20:00:47,0,34.6,33.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
28,2018/10/29 20:00:49,0,34.5,33.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
29,2018/10/29 20:00:51,0,34.6,33.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
30,2018/10/29 20:00:53,0,34.6,33.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
31,2018/10/29 20:00:55,0,34.7,33.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
32,2018/10/29 20:00:57,0,34.6,33.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
33,2018/10/29 20:00:59,0,34.6,33.3,LLLLLLLLLL,LLLLLLLLLL,LLLL
34,2018/10/29 20:01:01,0,34.5,33.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
35,2018/10/29 20:01:03,0,34.5,33.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
36,2018/10/29 20:01:05,0,34.4,33.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
37,2018/10/29 20:01:07,0,34.5,33.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
38,2018/10/29 20:01:09,0,34.3,33.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
39,2018/10/29 20:01:11,0,34.4,33.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
40,2018/10/29 20:01:13,0,34.2,33.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
41,2018/10/29 20:01:15,0,34.2,33.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
42,2018/10/29 20:01:17,0,34.1,33.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
43,2018/10/29 20:01:19,0,34.1,33.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
44,2018/10/29 20:01:21,0,34.1,33.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
45,2018/10/29 20:01:23,0,34.1,33.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
46,2018/10/29 20:01:25,0,34.1,33,LLLLLLLLLL,LLLLLLLLLL,LLLL
47,2018/10/29 20:01:27,0,34.1,33,LLLLLLLLLL,LLLLLLLLLL,LLLL
48,2018/10/29 20:01:29,0,34.1,33,LLLLLLLLLL,LLLLLLLLLL,LLLL
49,2018/10/29 20:01:31,0,34.1,33,LLLLLLLLLL,LLLLLLLLLL,LLLL
50,2018/10/29 20:01:33,0,34.1,33,LLLLLLLLLL,LLLLLLLLLL,LLLL
51,2018/10/29 20:01:35,0,34.1,33,LLLLLLLLLL,LLLLLLLLLL,LLLL
52,2018/10/29 20:01:37,0,34.1,33,LLLLLLLLLL,LLLLLLLLLL,LLLL
53,2018/10/29 20:01:39,0,34.2,33.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
54,2018/10/29 20:01:41,0,34.2,33.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
55,2018/10/29 20:01:43,0,34.2,33,LLLLLLLLLL,LLLLLLLLLL,LLLL
56,2018/10/29 20:01:45,0,34.4,33.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
57,2018/10/29 20:01:47,0,34.4,33.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
58,2018/10/29 20:01:49,0,34.4,33.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
59,2018/10/29 20:01:51,0,34.4,33.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
60,2018/10/29 20:01:53,0,34.4,33.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
61,2018/10/29 20:01:55,0,34.5,33.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
62,2018/10/29 20:01:57,0,34.4,33.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
63,2018/10/29 20:01:59,0,34.4,33.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
64,2018/10/29 20:02:01,0,34.4,33.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
65,2018/10/29 20:02:03,0,34.5,33.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
66,2018/10/29 20:02:05,0,34.5,33.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
67,2018/10/29 20:02:07,0,34.5,33.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
68,2018/10/29 20:02:09,0,34.5,33.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
69,2018/10/29 20:02:11,0,34.4,33.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
70,2018/10/29 20:02:13,0,34.4,33.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
71,2018/10/29 20:02:15,0,34.3,33.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
72,2018/10/29 20:02:17,0,34.2,33.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
73,2018/10/29 20:02:19,0,34.3,33.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
74,2018/10/29 20:02:21,0,34.3,33.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
75,2018/10/29 20:02:23,0,34.3,33.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
76,2018/10/29 20:02:25,0,34.3,33,LLLLLLLLLL,LLLLLLLLLL,LLLL
77,2018/10/29 20:02:27,0,34.3,33.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
78,2018/10/29 20:02:29,0,34.2,33,LLLLLLLLLL,LLLLLLLLLL,LLLL
79,2018/10/29 20:02:31,0,34.2,33.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
80,2018/10/29 20:02:33,0,34.3,33.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
81,2018/10/29 20:02:35,0,34.3,33.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
82,2018/10/29 20:02:37,0,34.2,33.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
83,2018/10/29 20:02:39,0,34.3,33.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
84,2018/10/29 20:02:41,0,34.4,33.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
85,2018/10/29 20:02:43,0,34.3,33.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
86,2018/10/29 20:02:45,0,34.3,33.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
87,2018/10/29 20:02:47,0,34.4,33.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
88,2018/10/29 20:02:49,0,34.4,33.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
89,2018/10/29 20:02:51,0,34.4,33.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
90,2018/10/29 20:02:53,0,34.5,33.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
91,2018/10/29 20:02:55,0,34.4,33.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
92,2018/10/29 20:02:57,0,34.4,33.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
93,2018/10/29 20:02:59,0,34.4,33.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
94,2018/10/29 20:03:01,0,34.4,33.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
95,2018/10/29 20:03:03,0,34.4,33.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
96,2018/10/29 20:03:05,0,34.4,33.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
97,2018/10/29 20:03:07,0,34.4,33.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
98,2018/10/29 20:03:09,0,34.4,33.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
99,2018/10/29 20:03:11,0,34.4,33.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
100,2018/10/29 20:03:13,0,34.4,33.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
101,2018/10/29 20:03:15,0,34.4,33.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
102,2018/10/29 20:03:17,0,34.4,33.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
103,2018/10/29 20:03:19,0,34.4,33.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
104,2018/10/29 20:03:21,0,34.4,33.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
105,2018/10/29 20:03:23,0,34.4,33.2,LLLLLLLLLL,LLLLLLLLLL,LLLL
106,2018/10/29 20:03:25,0,34.4,33.1,LLLLLLLLLL,LLLLLLLLLL,LLLL
