#MCP-PMT ID,Ch No.,Date,# of Entries,HV Set Value / V,HV Start / V,HV End / V,Start Time,End Time
YH0205,0,20181105,829951,0,2400,2100,1541388735,1541396364
YH0205,1,20181105,49388,0,2400,2100,1541388735,1541395347
YH0205,1,20181105,6955,2400,2400,2400,1541388735,1541388801
YH0205,1,20181105,6875,2350,2350,2350,1541389825,1541389891
YH0205,1,20181105,6823,2300,2300,2300,1541390912,1541390978
YH0205,1,20181105,6729,2250,2250,2250,1541392002,1541392069
YH0205,1,20181105,7391,2200,2200,2200,1541393093,1541393160
YH0205,1,20181105,7460,2150,2150,2150,1541394187,1541394253
YH0205,1,20181105,7155,2100,2100,2100,1541395281,1541395347
YH0205,2,20181105,50651,0,2400,2100,1541388802,1541395415
YH0205,2,20181105,7303,2400,2400,2400,1541388802,1541388869
YH0205,2,20181105,7008,2350,2350,2350,1541389892,1541389958
YH0205,2,20181105,7102,2300,2300,2300,1541390979,1541391045
YH0205,2,20181105,7089,2250,2250,2250,1541392070,1541392136
YH0205,2,20181105,7623,2200,2200,2200,1541393161,1541393228
YH0205,2,20181105,7383,2150,2150,2150,1541394255,1541394321
YH0205,2,20181105,7143,2100,2100,2100,1541395348,1541395415
YH0205,3,20181105,52051,0,2400,2100,1541388870,1541395483
YH0205,3,20181105,7254,2400,2400,2400,1541388870,1541388936
YH0205,3,20181105,7143,2350,2350,2350,1541389959,1541390026
YH0205,3,20181105,7120,2300,2300,2300,1541391047,1541391113
YH0205,3,20181105,7091,2250,2250,2250,1541392138,1541392204
YH0205,3,20181105,8010,2200,2200,2200,1541393229,1541393296
YH0205,3,20181105,8045,2150,2150,2150,1541394322,1541394389
YH0205,3,20181105,7388,2100,2100,2100,1541395416,1541395483
YH0205,4,20181105,50529,0,2400,2100,1541388938,1541395550
YH0205,4,20181105,6892,2400,2400,2400,1541388938,1541389004
YH0205,4,20181105,6886,2350,2350,2350,1541390027,1541390093
YH0205,4,20181105,6836,2300,2300,2300,1541391115,1541391181
YH0205,4,20181105,6753,2250,2250,2250,1541392205,1541392272
YH0205,4,20181105,7843,2200,2200,2200,1541393297,1541393364
YH0205,4,20181105,7923,2150,2150,2150,1541394390,1541394456
YH0205,4,20181105,7396,2100,2100,2100,1541395484,1541395550
