#MCP-PMT ID,Ch No.,Date,# of Entries,HV Set Value / V,HV Start / V,HV End / V,Start Time,End Time
YH0205,0,20181106,873904,0,2400,2100,1541487651,1541495296
YH0205,1,20181106,51567,0,2400,2100,1541487651,1541494278
YH0205,1,20181106,7176,2400,2400,2400,1541487651,1541487718
YH0205,1,20181106,7181,2350,2350,2350,1541488743,1541488810
YH0205,1,20181106,7271,2300,2300,2300,1541489834,1541489901
YH0205,1,20181106,7114,2250,2250,2250,1541490929,1541490996
YH0205,1,20181106,7722,2200,2200,2200,1541492020,1541492086
YH0205,1,20181106,7716,2150,2150,2150,1541493116,1541493182
YH0205,1,20181106,7387,2100,2100,2100,1541494211,1541494278
YH0205,2,20181106,53994,0,2400,2100,1541487719,1541494345
YH0205,2,20181106,7448,2400,2400,2400,1541487719,1541487785
YH0205,2,20181106,7488,2350,2350,2350,1541488811,1541488878
YH0205,2,20181106,7588,2300,2300,2300,1541489902,1541489969
YH0205,2,20181106,7445,2250,2250,2250,1541490997,1541491063
YH0205,2,20181106,8230,2200,2200,2200,1541492087,1541492154
YH0205,2,20181106,7990,2150,2150,2150,1541493184,1541493250
YH0205,2,20181106,7805,2100,2100,2100,1541494279,1541494345
YH0205,3,20181106,55821,0,2400,2100,1541487787,1541494413
YH0205,3,20181106,7604,2400,2400,2400,1541487787,1541487853
YH0205,3,20181106,7426,2350,2350,2350,1541488879,1541488945
YH0205,3,20181106,7417,2300,2300,2300,1541489970,1541490036
YH0205,3,20181106,7385,2250,2250,2250,1541491065,1541491131
YH0205,3,20181106,8904,2200,2200,2200,1541492156,1541492222
YH0205,3,20181106,8700,2150,2150,2150,1541493252,1541493318
YH0205,3,20181106,8385,2100,2100,2100,1541494347,1541494413
YH0205,4,20181106,53165,0,2400,2100,1541487855,1541494481
YH0205,4,20181106,7175,2400,2400,2400,1541487855,1541487921
YH0205,4,20181106,7207,2350,2350,2350,1541488947,1541489013
YH0205,4,20181106,7074,2300,2300,2300,1541490038,1541490104
YH0205,4,20181106,6934,2250,2250,2250,1541491133,1541491199
YH0205,4,20181106,8568,2200,2200,2200,1541492224,1541492290
YH0205,4,20181106,8298,2150,2150,2150,1541493320,1541493386
YH0205,4,20181106,7909,2100,2100,2100,1541494414,1541494481
YH0205,5,20181106,53092,0,2400,2100,1541487923,1541494549
YH0205,5,20181106,7469,2400,2400,2400,1541487923,1541487989
YH0205,5,20181106,7607,2350,2350,2350,1541489015,1541489081
YH0205,5,20181106,7383,2300,2300,2300,1541490106,1541490172
YH0205,5,20181106,7270,2250,2250,2250,1541491201,1541491267
YH0205,5,20181106,7908,2200,2200,2200,1541492292,1541492358
YH0205,5,20181106,7978,2150,2150,2150,1541493388,1541493454
YH0205,5,20181106,7477,2100,2100,2100,1541494482,1541494549
YH0205,6,20181106,53740,0,2400,2100,1541487991,1541494617
YH0205,6,20181106,7642,2400,2400,2400,1541487991,1541488057
YH0205,6,20181106,7506,2350,2350,2350,1541489083,1541489149
YH0205,6,20181106,7695,2300,2300,2300,1541490174,1541490240
YH0205,6,20181106,7437,2250,2250,2250,1541491269,1541491335
YH0205,6,20181106,8024,2200,2200,2200,1541492360,1541492427
YH0205,6,20181106,7782,2150,2150,2150,1541493456,1541493522
YH0205,6,20181106,7654,2100,2100,2100,1541494550,1541494617
YH0205,7,20181106,55595,0,2400,2100,1541488059,1541494685
YH0205,7,20181106,7716,2400,2400,2400,1541488059,1541488125
YH0205,7,20181106,7621,2350,2350,2350,1541489151,1541489217
YH0205,7,20181106,7653,2300,2300,2300,1541490242,1541490308
YH0205,7,20181106,7625,2250,2250,2250,1541491336,1541491403
YH0205,7,20181106,8556,2200,2200,2200,1541492429,1541492495
YH0205,7,20181106,8260,2150,2150,2150,1541493524,1541493590
YH0205,7,20181106,8164,2100,2100,2100,1541494618,1541494685
YH0205,8,20181106,52868,0,2400,2100,1541488127,1541494752
YH0205,8,20181106,7372,2400,2400,2400,1541488127,1541488193
YH0205,8,20181106,7417,2350,2350,2350,1541489218,1541489285
YH0205,8,20181106,7516,2300,2300,2300,1541490310,1541490376
YH0205,8,20181106,7429,2250,2250,2250,1541491404,1541491470
YH0205,8,20181106,7954,2200,2200,2200,1541492497,1541492563
YH0205,8,20181106,7664,2150,2150,2150,1541493592,1541493658
YH0205,8,20181106,7516,2100,2100,2100,1541494686,1541494752
YH0205,9,20181106,56461,0,2400,2100,1541488195,1541494821
YH0205,9,20181106,7572,2400,2400,2400,1541488195,1541488261
YH0205,9,20181106,7535,2350,2350,2350,1541489287,1541489353
YH0205,9,20181106,7521,2300,2300,2300,1541490378,1541490444
YH0205,9,20181106,7627,2250,2250,2250,1541491472,1541491538
YH0205,9,20181106,8815,2200,2200,2200,1541492565,1541492632
YH0205,9,20181106,8773,2150,2150,2150,1541493660,1541493727
YH0205,9,20181106,8618,2100,2100,2100,1541494754,1541494821
YH0205,10,20181106,56631,0,2400,2100,1541488263,1541494888
YH0205,10,20181106,7724,2400,2400,2400,1541488263,1541488329
YH0205,10,20181106,7594,2350,2350,2350,1541489354,1541489421
YH0205,10,20181106,7757,2300,2300,2300,1541490446,1541490512
YH0205,10,20181106,7760,2250,2250,2250,1541491540,1541491606
YH0205,10,20181106,8581,2200,2200,2200,1541492633,1541492700
YH0205,10,20181106,8687,2150,2150,2150,1541493728,1541493794
YH0205,10,20181106,8528,2100,2100,2100,1541494822,1541494888
YH0205,11,20181106,57385,0,2400,2100,1541488330,1541494956
YH0205,11,20181106,7837,2400,2400,2400,1541488330,1541488397
YH0205,11,20181106,7472,2350,2350,2350,1541489422,1541489489
YH0205,11,20181106,7699,2300,2300,2300,1541490514,1541490581
YH0205,11,20181106,7701,2250,2250,2250,1541491608,1541491674
YH0205,11,20181106,8985,2200,2200,2200,1541492702,1541492768
YH0205,11,20181106,8891,2150,2150,2150,1541493796,1541493862
YH0205,11,20181106,8800,2100,2100,2100,1541494890,1541494956
YH0205,12,20181106,56264,0,2400,2100,1541488399,1541495024
YH0205,12,20181106,7656,2400,2400,2400,1541488399,1541488465
YH0205,12,20181106,7620,2350,2350,2350,1541489490,1541489556
YH0205,12,20181106,7722,2300,2300,2300,1541490582,1541490649
YH0205,12,20181106,7542,2250,2250,2250,1541491676,1541491742
YH0205,12,20181106,8756,2200,2200,2200,1541492770,1541492837
YH0205,12,20181106,8393,2150,2150,2150,1541493864,1541493930
YH0205,12,20181106,8575,2100,2100,2100,1541494958,1541495024
YH0205,13,20181106,53563,0,2400,2100,1541488467,1541495093
YH0205,13,20181106,7476,2400,2400,2400,1541488467,1541488533
YH0205,13,20181106,7268,2350,2350,2350,1541489558,1541489624
YH0205,13,20181106,7291,2300,2300,2300,1541490651,1541490717
YH0205,13,20181106,7113,2250,2250,2250,1541491744,1541491810
YH0205,13,20181106,8086,2200,2200,2200,1541492839,1541492905
YH0205,13,20181106,8236,2150,2150,2150,1541493932,1541493999
YH0205,13,20181106,8093,2100,2100,2100,1541495026,1541495093
YH0205,14,20181106,55115,0,2400,2100,1541488535,1541495161
YH0205,14,20181106,7456,2400,2400,2400,1541488535,1541488601
YH0205,14,20181106,7579,2350,2350,2350,1541489626,1541489692
YH0205,14,20181106,7545,2300,2300,2300,1541490718,1541490785
YH0205,14,20181106,7516,2250,2250,2250,1541491811,1541491878
YH0205,14,20181106,8264,2200,2200,2200,1541492907,1541492973
YH0205,14,20181106,8509,2150,2150,2150,1541494000,1541494067
YH0205,14,20181106,8246,2100,2100,2100,1541495094,1541495161
YH0205,15,20181106,53787,0,2400,2100,1541488603,1541495228
YH0205,15,20181106,7564,2400,2400,2400,1541488603,1541488669
YH0205,15,20181106,7484,2350,2350,2350,1541489694,1541489760
YH0205,15,20181106,7733,2300,2300,2300,1541490786,1541490853
YH0205,15,20181106,7505,2250,2250,2250,1541491879,1541491945
YH0205,15,20181106,8460,2200,2200,2200,1541492975,1541493041
YH0205,15,20181106,8484,2150,2150,2150,1541494068,1541494135
YH0205,15,20181106,6557,2100,2100,2100,1541495162,1541495228
YH0205,16,20181106,54856,0,2400,2100,1541488671,1541495296
YH0205,16,20181106,7329,2400,2400,2400,1541488671,1541488737
YH0205,16,20181106,7621,2350,2350,2350,1541489761,1541489828
YH0205,16,20181106,7573,2300,2300,2300,1541490854,1541490921
YH0205,16,20181106,7476,2250,2250,2250,1541491947,1541492013
YH0205,16,20181106,8330,2200,2200,2200,1541493043,1541493109
YH0205,16,20181106,8247,2150,2150,2150,1541494136,1541494202
YH0205,16,20181106,8280,2100,2100,2100,1541495230,1541495296
