#MCP-PMT ID,Ch No.,Date,Parameter1(b),Parameter2(a)
YH0205,0,20181109,-17.7618,0.00798005
YH0205,1,20181109,-18.713,0.00836143
YH0205,2,20181109,-18.6903,0.00834196
YH0205,3,20181109,-18.0937,0.00810676
YH0205,4,20181109,-17.2449,0.00778119
YH0205,5,20181109,-17.7252,0.00805613
YH0205,6,20181109,-17.0764,0.00775139
YH0205,7,20181109,-17.2296,0.00777338
YH0205,8,20181109,-17.9077,0.00813629
YH0205,9,20181109,-18.9224,0.0084366
YH0205,10,20181109,-16.0898,0.0073289
YH0205,11,20181109,-16.1989,0.00733841
YH0205,12,20181109,-17.6468,0.00795521
YH0205,13,20181109,-15.8181,0.00713259
YH0205,14,20181109,-17.6207,0.00789046
YH0205,15,20181109,-24.9179,0.0109304
YH0205,16,20181109,-19.0361,0.00827011
